Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
5252,0,0,0,0,0,0
5368,0.066528,-0.900513,0.694214,-42.724606,-64.758301,-34.545898
5484,0.036133,-0.868164,0.473145,-3.540039,-14.282226,-5.798339
5600,0.026001,-0.921387,0.388794,-19.287109,-6.04248,-34.729004
5716,-0.095703,-0.871216,0.467896,-23.986814,2.319336,-24.780272
5832,-0.096313,-0.846802,0.55603,-23.803709,37.780762,-69.519043
5948,-0.165161,-0.811523,0.524048,-11.840819,7.324218,-17.944336
6064,-0.583252,-0.981201,0.575439,16.479492,-75.744629,-86.608879
6180,-0.497437,-0.811157,0.586304,8.728027,32.958984,-108.886711
6296,-0.02478,-0.433838,0.865723,-10.681151,79.956055,-61.523434
6412,-0.093994,-0.614014,0.291016,27.038572,78.552246,23.559568
6528,-0.040039,-0.715576,0.50354,51.452633,58.959957,91.674797
6644,-0.125488,-0.76001,0.627441,100.219719,64.27002,87.524406
6760,0.537476,-1.010742,0.668945,11.96289,-176.574692,-10.19287
6876,-0.049194,-1.00293,0.48938,1.647949,-59.814449,-19.226074
6992,-0.010986,-0.894775,0.46582,4.943848,-12.451171,-4.455566
7108,-0.053589,-0.869263,0.463013,-10.131835,-13.97705,-7.93457
7225,-0.030762,-0.862793,0.491821,-11.96289,-5.371093,-0.305176
7341,-0.017212,-0.84668,0.523437,-7.568359,-4.02832,-4.577637
7457,-0.03894,-0.8396,0.526367,-9.643555,-2.929687,3.173828
7573,-0.064087,-0.856934,0.559692,-17.578125,3.845215,-13.183593
7689,-0.342041,-1.142334,1.12561,-10.131835,-2.380371,-48.278805
7805,-0.692627,-0.817749,0.30249,-74.21875,13.366698,-138.793945
7921,-0.441284,-0.640625,0.634399,-60.913082,-47.546383,-135.009766
8037,-0.615967,-0.213013,0.763794,-50.842281,-41.564938,-154.907227
8153,-0.760376,-0.088623,0.887329,-65.063477,14.648437,-212.829575
8269,-0.408447,0.12793,0.497681,-82.763664,46.874996,-218.93309
8385,-0.088989,0.381104,0.552368,-50.048824,59.020992,-138.916016
8501,0.098511,0.59729,0.598145,-36.804199,79.772949,-69.763184
8617,0.305298,0.630005,0.556396,-37.04834,93.749992,6.774902
8733,0.258789,0.771606,0.443359,1.098633,69.091797,16.052246
8849,0.46521,0.97644,0.601929,-8.666992,9.887695,35.766602
8965,0.157837,0.708496,0.644653,-57.006832,89.355461,17.211914
9081,0.036499,0.949707,0.089844,-95.031731,48.46191,37.780762
9197,0.056274,0.940186,-0.032837,-74.951172,-11.230468,52.001949
9313,-0.0448,1.098877,-0.21106,-1.220703,2.624511,-11.840819
9429,-0.002319,0.96875,0.089355,-37.780762,8.544922,-24.719236
9545,0.326172,0.873047,-0.209839,-53.283688,2.380371,-3.662109
9661,0.341675,0.838501,-0.238159,-20.690916,49.743649,38.94043
9777,-0.368286,0.897461,-0.244507,4.089355,28.747557,36.254883
9893,-0.136719,1.554077,-0.166138,6.774902,2.13623,-4.455566
10009,-0.083496,0.757568,-0.107788,-31.677244,-3.784179,11.779784
10125,0.147705,1.331055,-0.170044,-39.672852,22.949217,-9.82666
10241,-0.074829,0.989258,-0.525635,-38.269043,-0.183105,6.958007
10357,-0.061401,0.901367,-0.535522,6.835937,-8.911133,-2.13623
10473,-0.140015,0.926636,-0.398071,7.873535,17.089844,11.047362
10589,-0.047607,0.957642,-0.328735,29.113768,10.375976,15.99121
10705,-0.177979,0.905762,-0.282715,20.568846,-13.549804,0.427246
10821,-0.054687,0.946411,-0.200317,2.441406,-0.061035,-10.0708
10937,-0.06604,0.968506,-0.304077,6.408691,10.131835,-3.845215
11053,-0.032104,0.93689,-0.231812,7.446289,9.399414,2.868652
11169,0.010498,0.954102,-0.234985,3.90625,-1.586914,7.202148
11285,-0.274048,0.994629,-0.170654,12.451171,-2.746582,-0.305176
11401,-0.167236,0.984863,-0.204346,3.112793,-6.04248,-5.859375
11517,-0.05603,0.950073,-0.244629,2.807617,9.216309,-7.93457
11633,-0.076416,0.969238,-0.185303,2.929687,6.04248,-6.04248
