Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
2477,0,0,0,0,0,0
2593,-0.180664,-0.485352,0.834229,-0.366211,-4.272461,1.89209
2709,-0.196899,-0.478882,0.843872,2.197266,-2.685547,0.549316
2825,-0.201782,-0.483521,0.839355,1.953125,-2.807617,0.549316
2941,-0.206787,-0.491333,0.830078,0.549316,-2.624511,-0.915527
3057,-0.217041,-0.490234,0.833496,-0.305176,-1.342773,-2.197266
3173,-0.225952,-0.485596,0.837402,-1.647949,-0.366211,-1.953125
3289,-0.22644,-0.473755,0.838867,0,-0.183105,-3.173828
3405,-0.22583,-0.484863,0.830322,1.708984,-0.12207,-1.708984
3521,-0.227539,-0.496582,0.821167,2.319336,-0.427246,-0.244141
3637,-0.222412,-0.49585,0.825806,0.366211,-0.244141,-0.549316
3753,-0.202759,-0.487793,0.835449,-0.244141,-2.380371,0.671387
3869,-0.252075,-0.512451,0.807007,-2.258301,2.807617,-1.708984
3985,-0.246826,-0.509033,0.818115,-15.258788,4.699707,0.915527
4101,-0.155762,-0.732178,0.879517,12.756347,62.19482,9.643555
4217,0.013306,-0.915405,0.362549,-6.347656,18.920898,-60.852047
4333,-0.001953,-0.36438,0.640991,55.236813,-36.560059,-43.090816
4449,-0.183472,-0.466187,0.684448,113.769524,-28.869627,12.329101
4565,-0.287598,-0.692627,0.802979,122.558586,11.230468,33.813477
4681,-0.36792,-0.766968,0.587036,58.715816,-23.193357,36.437988
4797,-0.246948,-1.010742,0.458374,33.508301,31.677244,17.211914
4913,-0.144287,-0.932129,0.230591,2.990722,31.066893,4.272461
5029,-0.010986,-0.672852,0.167236,-2.075195,25.390623,-2.258301
5145,0.003174,-0.830933,0.174072,29.479979,44.738766,12.878417
5261,0.067993,-1.026489,0.105225,34.484863,60.424801,-8.178711
5377,0.204102,-1.222412,0.184082,12.939452,81.359856,-0.732422
5493,0.105225,-1.054199,0.241333,-10.681151,114.624016,10.681151
5609,0.24707,-1.253296,0.222534,-11.169433,19.897461,25.329588
5725,0.217896,-1.072266,0.233276,-17.883301,16.296387,-8.850098
5841,0.052612,-0.978882,0.17981,14.770507,19.897461,1.159668
