Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
14816,0,0,0,0,0,0
14932,0.02832,0.832275,0.344727,-4.516602,7.019042,-5.493164
15048,-0.064575,0.907837,0.339478,-9.765625,12.817382,-2.624511
15164,-0.055176,0.881592,0.324829,-2.807617,-8.422852,0.915527
15280,-0.128418,0.94458,0.306641,-13.549804,-37.658691,12.268065
15396,-0.130127,0.91333,0.217163,-10.620116,-19.775391,7.202148
15512,-0.131226,0.908325,0.269775,25.146482,-29.479979,17.51709
15628,-0.230469,0.903198,0.528442,-0.549316,-2.13623,32.653809
15744,-0.071289,0.909668,0.31604,0,-2.502441,16.723633
15860,-0.225464,0.964722,0.346069,1.770019,-12.512206,10.253905
15976,-0.302979,0.876709,0.32251,12.695312,3.417969,10.19287
16092,-0.348145,0.946167,0.370972,12.634276,3.90625,1.037598
16208,-0.509766,0.769653,0.403809,11.291503,18.371582,-11.596679
16324,-0.420776,0.836792,0.457886,16.784668,47.668453,-33.874512
16440,-0.410889,0.810913,0.454834,2.929687,-17.63916,-23.254393
16556,-0.114014,0.991455,0.405151,-0.305176,-28.259275,6.835937
16672,-0.105835,0.748291,0.491699,-12.08496,-21.789549,10.620116
16788,-0.026978,0.963135,0.568115,-8.422852,7.141113,-0.549316
16904,-0.245483,0.791016,0.442993,-10.0708,8.117676,-7.995605
17020,-0.308105,0.87085,0.302124,15.808105,-5.737304,3.845215
17136,-0.406982,0.786255,0.450439,-3.540039,-4.760742,-0.12207
17252,-0.439941,0.852173,0.4021,-13.061522,7.507324,-7.629394
17368,-0.305298,0.943726,0.327148,-1.647949,6.16455,8.483887
17484,-0.248047,0.894043,0.333618,-2.868652,-1.525879,-1.281738
17600,-0.192871,0.893433,0.353271,-5.432128,-7.568359,-4.150391
17716,-0.256592,0.877075,0.385986,-4.638672,-3.845215,-1.037598
17832,-0.267212,0.883789,0.388306,0.305176,-1.342773,-3.234863
17948,-0.264038,0.846924,0.38208,1.403808,2.746582,-1.464844
18064,-0.25354,0.884399,0.381592,-4.333496,0.427246,-0.671387
18180,-0.247192,0.87854,0.356079,-0.305176,0.793457,-1.464844
18296,-0.248047,0.879517,0.361572,-4.089355,0.061035,-0.549316
18412,-0.252563,0.886475,0.352539,-0.732422,-0.061035,0.12207
18528,-0.262695,0.882202,0.365112,-2.319336,-0.549316,-0.488281
18644,-0.25769,0.884644,0.366211,0.12207,0.854492,-0.671387
18760,-0.246582,0.885864,0.360474,-0.061035,1.281738,-0.610352
18876,-0.24646,0.886963,0.361084,-0.793457,2.197266,-1.220703
18992,-0.250366,0.882812,0.362671,-1.159668,1.281738,-0.671387
19108,-0.239502,0.884155,0.354614,-1.953125,0.732422,-0.549316
19224,-0.248657,0.883545,0.35022,-1.89209,-0.732422,-0.12207
19340,-0.251953,0.885254,0.355103,-1.098633,-0.366211,0.305176
19456,-0.252441,0.883423,0.353516,0.610352,0.366211,0
19572,-0.258911,0.881836,0.360474,-1.281738,0,0.12207
19688,-0.25354,0.888184,0.358887,-0.610352,1.586914,-0.061035
19804,-0.251099,0.887085,0.357544,-0.793457,0.976562,-0.305176
19920,-0.25354,0.884766,0.350708,1.159668,0.12207,-0.061035
20036,-0.25415,0.88501,0.350586,2.13623,-0.427246,-0.244141
20152,-0.25354,0.86084,0.378784,1.953125,-0.549316,1.159668
20268,-0.256836,0.906006,0.352661,-0.366211,-1.708984,0.12207
20384,-0.259766,0.875977,0.37854,-2.929687,-1.586914,-2.807617
20500,-0.256592,0.873779,0.378052,1.525879,1.89209,-0.976562
20616,-0.246216,0.877441,0.376587,-0.12207,1.831055,0.061035
20732,-0.244751,0.875977,0.369019,-2.075195,0.549316,-0.12207
20848,-0.247559,0.874512,0.356934,-1.708984,-1.89209,1.281738
20964,-0.256348,0.888916,0.369751,-1.525879,-1.708984,-0.183105
21080,-0.249268,0.883911,0.357056,0.549316,-1.281738,-0.061035
21196,-0.255981,0.885498,0.365601,0.12207,-0.488281,-1.403808
21312,-0.259888,0.879517,0.365112,-0.549316,0.12207,-0.183105
21428,-0.255493,0.884399,0.370728,-1.464844,0.732422,-0.671387
21544,-0.252686,0.884888,0.357178,-1.831055,2.01416,-0.976562
21660,-0.243652,0.877563,0.353271,-1.586914,0.244141,-0.061035
21776,-0.245972,0.884644,0.359497,-0.732422,0.793457,0.488281
21892,-0.255005,0.883789,0.355469,-1.098633,0.427246,0.244141
22008,-0.259155,0.881958,0.354248,0.183105,0.732422,-0.061035
22124,-0.267944,0.889404,0.361572,-1.525879,2.01416,-1.464844
22240,-0.257324,0.876709,0.356567,1.647949,-1.220703,-0.366211
22356,-0.255615,0.877075,0.361084,0.488281,-3.601074,-1.464844
22472,-0.258179,0.874512,0.37854,1.281738,-3.234863,-0.793457
22588,-0.253784,0.881226,0.376587,-0.366211,-1.037598,-0.427246
22704,-0.245483,0.887817,0.374512,-1.953125,2.13623,-1.586914
22820,-0.248169,0.874268,0.364868,-0.671387,2.01416,-0.976562
22936,-0.239014,0.891724,0.358276,-0.305176,1.708984,0.061035
23052,-0.24292,0.883179,0.362671,-1.159668,0.366211,-0.549316
23168,-0.240234,0.880249,0.362915,-0.854492,0.427246,-0.488281
23284,-0.238403,0.891602,0.368652,0,0.366211,-0.12207
23400,-0.243896,0.884888,0.367065,-0.671387,0.915527,-0.915527
23516,-0.242187,0.882568,0.368652,4.02832,-0.305176,-1.281738
23632,-0.248779,0.858398,0.374512,13.366698,2.807617,2.929687
23748,-0.242798,0.855225,0.402222,24.475096,6.774902,4.516602
23864,-0.234741,0.695801,0.349243,23.010252,11.596679,1.586914
23980,-0.191528,0.690552,0.411011,15.808105,12.756347,10.559081
24096,-0.23877,0.744751,0.501831,17.822266,13.916015,1.708984
24212,-0.190552,0.820435,0.507568,20.446775,6.958007,5.615234
24328,-0.262207,0.686646,0.598389,17.883301,6.958007,6.225585
24444,-0.233154,0.769775,0.660522,16.174316,4.516602,2.990722
24560,-0.233765,0.738403,0.680786,8.361816,-5.737304,-4.394531
24676,-0.261597,0.701904,0.731201,5.371093,-7.446289,3.540039
24792,-0.22876,0.691406,0.802368,8.483887,3.967285,-0.915527
24908,-0.275146,0.637817,0.665649,13.671874,7.080078,6.652832
25024,-0.240723,0.606445,0.707642,27.9541,2.258301,8.972168
25140,-0.302124,0.621826,1.029297,18.188477,6.591796,0.427246
25256,-0.323853,0.704712,0.934204,-11.657714,3.356933,-6.469726
25372,-0.291992,0.837036,1.011963,-25.939939,-1.953125,-8.728027
25488,-0.248779,0.826538,0.991699,-33.630371,4.882812,-10.681151
25604,-0.202393,0.689941,0.760986,-41.198727,-0.671387,0
25720,-0.205811,0.77063,0.490845,-53.588863,-4.089355,-1.281738
25836,-0.206787,0.741943,0.406494,-47.058102,-8.361816,-7.141113
25952,-0.0448,0.621704,0.252319,-42.907711,-16.601562,-6.04248
26068,-0.190674,0.540527,0.068237,-38.085937,-4.943848,-2.380371
