Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.037964,0.735107,0.665039,9.704590,-2.380371,0.915527
0.103882,0.815430,0.781006,-6.286621,3.479004,-9.460449
0.186523,0.575806,0.671021,8.178711,-9.460449,-2.258301
0.183594,0.780029,0.704590,-3.540039,5.493164,4.882812
0.164673,0.659912,0.677612,-34.362793,3.601074,3.234863
0.166504,0.740967,0.639038,-25.085447,2.746582,-4.394531
0.191406,0.773926,0.555176,-14.465331,-1.647949,-5.371093
0.188843,0.762573,0.573120,-6.530761,0.915527,-2.075195
0.185059,0.791626,0.559937,-2.868652,2.624511,-1.892090
0.180176,0.775269,0.574707,-2.258301,0.061035,-3.295898
0.198730,0.799194,0.583008,4.882812,0.610352,-2.502441
0.183350,0.809204,0.579346,-4.516602,2.441406,0.122070
0.208740,0.799438,0.579712,1.037598,2.380371,-5.249023
0.203979,0.786621,0.549683,3.723144,-0.793457,-0.183105
0.187378,0.712402,0.529663,13.488769,0.854492,-3.051758
0.191040,0.670654,0.486694,15.441894,0.183105,-0.183105
0.163574,0.660767,0.543457,16.662598,-1.220703,4.699707
0.153931,0.589966,0.585327,27.893064,-7.751464,2.197266
0.157593,0.640991,0.657837,28.137205,-12.390136,1.647949
0.157349,0.687012,0.750977,10.375976,1.892090,4.943848
0.163818,0.667114,0.774536,17.395020,-6.042480,4.516602
0.146240,0.630615,0.738892,16.113281,-8.850098,4.028320
0.121460,0.616943,0.804321,2.014160,-6.225585,7.446289
0.089111,0.591919,0.798218,8.239746,-4.028320,3.601074
0.060547,0.553833,0.895264,8.850098,-6.164550,2.014160
0.044312,0.586914,0.832886,-9.765625,-1.037598,-2.502441
0.080200,0.591553,0.827515,-9.460449,-0.488281,-3.479004
0.106445,0.628418,0.854248,4.882812,-4.638672,-5.981445
0.105835,0.684082,0.905518,-1.953125,-2.990722,-4.821777
0.108276,0.710083,0.933838,-1.098633,1.220703,-1.770019
0.105225,0.689697,0.901855,0.488281,-0.061035,-4.272461
0.113037,0.729980,0.971313,3.112793,-0.183105,-0.183105
0.108032,0.604614,0.859741,-0.671387,1.892090,-2.441406
0.073853,0.598633,0.835327,-8.605957,0.610352,-0.610352
0.066284,0.586670,0.816772,-13.549804,4.577637,-3.967285
0.125366,0.643555,0.817261,-13.061522,9.582520,-0.244141
0.121704,0.641968,0.753052,-5.737304,2.380371,-1.281738
0.084961,0.621948,0.697266,-14.160155,2.502441,-1.281738
0.100464,0.662720,0.678711,-11.840819,4.211426,-5.493164
0.121094,0.608643,0.626099,-11.596679,5.310058,-0.366211
0.148560,0.532349,0.544189,-4.699707,2.441406,-1.159668
0.116821,0.489868,0.538330,-1.464844,2.868652,7.873535
0.139038,0.776978,0.727417,6.347656,7.141113,0.854492
0.149414,0.687012,0.702393,3.479004,-1.953125,2.319336
0.149658,0.658325,0.676514,-10.437011,8.728027,2.075195
0.188843,0.695679,0.699463,-14.770507,1.708984,-1.159668
0.162231,0.697388,0.682983,8.728027,-1.403808,-0.488281
0.159424,0.683594,0.676392,0.549316,0.549316,1.159668
0.151611,0.682129,0.684814,-3.540039,0.976562,0.122070
0.150879,0.674316,0.657349,-4.394531,0.976562,0.061035
0.154419,0.679321,0.625122,-2.990722,1.098633,0.244141
0.152466,0.646362,0.593994,4.760742,-0.915527,1.220703
0.127686,0.544434,0.540039,11.718749,-3.601074,2.441406
0.129639,0.588135,0.594727,11.901855,-4.089355,0.793457
0.149658,0.616333,0.678711,12.451171,-3.906250,-2.136230
0.138794,0.666992,0.720093,6.164550,-1.831055,1.403808
0.150513,0.694092,0.765381,5.126953,-3.540039,-1.586914
0.143555,0.725586,0.800537,1.220703,-0.305176,-0.305176
0.157349,0.651001,0.803223,19.348145,-8.544922,-5.310058
0.143066,0.608154,0.785156,11.535644,-4.638672,-3.417969
