Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,dt
1613731,0.274170,0.953735,0.130127,6.530761,-15.197753,-0.244141,98
1613829,0.267578,0.982666,0.226196,1.342773,4.760742,-2.990722,98
1613927,0.270996,0.925903,0.067871,0.793457,-7.080078,0.915527,98
1614025,0.297729,0.941406,0.109253,2.563476,2.258301,4.211426,98
1614122,0.272095,0.943359,0.127319,-1.281738,6.896972,4.211426,97
1614219,0.250610,0.946411,0.116943,-1.892090,0.305176,-2.624511,97
1614317,0.251465,0.912720,0.084595,-0.610352,5.249023,-3.479004,98
1614428,0.290039,0.942017,0.111450,1.403808,5.554199,-3.112793,111
1614527,0.313232,0.916504,0.106567,4.333496,-5.126953,-6.164550,99
1614625,0.230347,0.879517,0.039551,-9.033203,2.563476,2.136230,98
1614722,0.277954,0.913452,-0.025146,-10.681151,14.770507,12.329101,97
1614821,0.334961,0.947998,0.113403,-11.535644,3.112793,5.859375,99
1614918,0.165894,0.857544,0.064575,-6.225585,-4.699707,6.652832,97
1615017,0.287842,1.030762,0.181763,-1.220703,19.958496,7.202148,99
1615117,0.265503,0.927979,0.182007,5.432128,-4.394531,5.065917,100
1615214,0.236450,0.965942,0.110840,-5.798339,2.014160,2.685547,97
1615312,0.198730,0.912598,0.009033,10.742187,-6.530761,15.258788,98
1615423,0.176758,0.987427,0.083252,14.282226,-3.234863,4.516602,111
1615521,0.150635,0.964355,0.185791,19.165039,-7.629394,4.821777,98
1615619,0.058105,0.998657,0.229126,10.253905,0.854492,7.141113,98
1615717,0.104614,0.912842,0.306152,-2.441406,1.708984,-1.098633,98
1615815,0.079468,0.908447,0.225220,7.873535,-10.009766,-8.178711,98
1615914,0.116943,0.999390,0.186279,8.178711,-7.019042,-5.371093,99
1616012,0.174072,0.965576,0.158203,14.709472,1.647949,-2.136230,98
1616110,0.173706,0.999023,0.241699,9.155273,0.000000,-10.498046,98
1616209,0.186035,0.960449,0.319946,4.821777,-4.760742,-6.652832,99
1616308,0.213623,0.982178,0.250122,7.080078,-4.821777,-3.967285,99
1616408,0.249512,1.013672,0.281494,3.479004,5.676269,-1.586914,100
1616507,0.206909,0.959839,0.240967,-7.873535,2.502441,-5.615234,99
1616607,0.217407,1.059692,0.326538,-11.352538,3.723144,-1.098633,100
1616705,0.272339,1.165161,0.250732,-18.249512,7.202148,-1.464844,98
1616802,0.235229,1.114990,0.255615,-42.419430,15.502929,-0.793457,97
1616900,0.223389,1.046021,0.114624,-26.245115,9.704590,4.699707,98
1616998,0.229248,0.992554,-0.017212,-1.892090,-1.770019,-6.591796,98
1617096,0.232300,0.933838,0.037598,16.540527,-15.075683,-16.784668,98
1617194,0.230957,0.785278,0.080078,38.024902,-25.634764,-23.437498,98
1617292,0.181885,0.558716,-0.000488,19.775391,9.643555,-28.869627,98
1617391,0.357300,0.991577,0.112793,-6.286621,8.422852,1.770019,99
1617489,0.396973,0.909546,0.076782,-3.356933,-10.070800,8.911133,98
1617588,0.367188,0.912964,0.164551,7.934570,1.159668,-5.432128,99
1617685,0.320801,0.805908,0.161865,-0.244141,3.662109,2.807617,97
