Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,dt
1230580,0.421265,0.806885,0.069580,-11.047362,20.812986,9.704590,97
1230678,0.290894,0.920410,0.047485,-12.145995,-3.845215,13.854980,98
1230775,0.292603,0.911011,-0.040649,-2.929687,-6.164550,19.287109,97
1230872,0.186768,0.978760,-0.108154,-9.643555,10.864257,-2.563476,97
1230969,0.378540,1.014648,-0.098877,2.990722,-7.202148,14.709472,97
1231066,0.206177,0.873291,-0.257202,14.892577,-25.268553,27.954100,97
1231164,0.113037,0.956787,0.136353,-5.004883,-6.774902,9.094238,98
1231261,0.177002,0.980713,-0.064087,5.920410,9.521484,14.587401,97
1231358,0.197510,0.884399,-0.017944,-8.239746,6.591796,4.821777,97
1231456,0.198608,0.933960,-0.028809,8.911133,8.117676,-5.737304,98
1231554,0.261597,0.975586,0.118652,10.070800,5.065917,-18.066406,98
1231651,0.198975,1.001343,0.082886,16.601562,-22.521971,-8.483887,97
1231748,0.229858,1.075928,0.104736,14.099120,-24.963377,-15.014647,97
1231845,0.260010,1.020020,0.119385,16.540527,-15.808105,-5.126953,97
1231942,0.278687,1.064575,0.128906,2.929687,0.366211,-4.516602,97
1232039,0.315796,1.104004,0.123535,-9.582520,3.112793,2.319336,97
1232136,0.337036,1.264893,0.141357,-20.690916,9.887695,10.620116,97
1232233,0.257935,1.178711,0.129272,-35.522461,17.700195,8.728027,97
1232330,0.140625,0.999512,0.089966,-40.039062,-11.901855,2.075195,97
1232428,0.182129,0.807739,-0.019409,-10.192870,-2.624511,-13.183593,98
1232528,0.404907,0.824219,-0.168945,-17.456055,13.732909,-36.987305,100
1232626,0.269775,0.844238,-0.145874,8.728027,-5.920410,-39.611816,98
1232724,0.383545,0.786377,-0.068237,51.940914,-32.226562,-27.770994,98
1232821,0.385010,0.725342,-0.006714,23.193357,-1.647949,-16.052246,97
1232920,0.467651,0.903320,0.064941,-6.652832,6.164550,-7.812500,99
1233017,0.458008,0.831177,-0.081787,-2.990722,2.075195,-1.037598,97
1233114,0.450562,0.932861,-0.022339,5.371093,-0.793457,-0.488281,97
1233213,0.416992,0.781738,-0.097778,-2.075195,-5.554199,7.934570,99
1233312,0.454590,0.832642,0.072876,-9.033203,27.282713,15.747069,99
1233411,0.464478,0.788696,0.055298,-9.033203,8.239746,27.221678,99
1233509,0.312012,0.832275,-0.038330,-10.253905,17.761230,16.418457,98
1233608,0.329590,0.925293,-0.061401,-6.347656,1.342773,12.756347,99
1233706,0.255737,0.837280,-0.081665,9.460449,-12.207030,20.263670,98
1233803,0.317749,0.996948,0.036865,15.747069,-1.953125,11.901855,97
1233902,0.298096,0.984741,0.067505,9.216309,-16.723633,-2.685547,99
1234001,0.226929,0.997803,0.009888,16.235352,-10.009766,-6.774902,99
1234099,0.244141,0.976196,0.031128,17.883301,-14.526366,-4.333496,98
1234197,0.285278,1.033203,0.037354,2.685547,-9.460449,-12.207030,98
1234296,0.316162,1.016357,0.082397,3.662109,2.075195,-1.281738,99
1234394,0.313110,1.028442,0.080200,2.807617,-4.272461,-4.455566,98
1234493,0.341919,1.198120,0.130249,-4.211426,-3.112793,-0.427246,99
1234591,0.363403,1.228271,-0.032471,-15.991210,6.530761,16.235352,98
1234690,0.317749,1.125000,0.121948,-31.433104,18.249512,11.108397,99
1234788,0.380249,1.064087,0.118530,-12.451171,-17.395020,8.239746,98
1234886,0.298828,0.983521,0.060913,3.784179,1.831055,-10.742187,98
1234986,0.257324,0.925659,0.098389,10.437011,-17.028809,-31.249998,100
1235085,0.029541,0.397583,-0.116821,17.028809,8.544922,-31.311033,99
1235184,0.264648,0.689819,-0.042480,0.305176,-5.981445,-10.192870,99
1235283,0.551025,0.937378,-0.001953,-4.516602,-1.220703,-1.586914,99
1235382,0.357300,0.921875,-0.014771,2.685547,11.047362,-11.535644,99
1235479,0.391968,0.831909,-0.004639,0.427246,-2.868652,6.042480,97
1235576,0.333008,0.825073,-0.005127,-4.882812,-10.375976,7.202148,97
1235673,0.331055,0.845093,-0.048218,0.976562,0.854492,13.488769,97
1235772,0.309082,0.916382,-0.018066,-17.028809,17.578125,14.099120,99
1235869,0.284424,0.904663,-0.048340,-12.390136,13.488769,18.005371,97
1235966,0.237061,1.003540,-0.101074,-6.713867,16.906738,20.446775,97
1236063,0.328125,0.900757,-0.053223,-2.685547,1.647949,8.789063,97
1236160,0.202881,0.963989,-0.084961,-6.164550,-5.371093,1.892090,97
1236259,0.342896,1.004028,0.022949,-0.122070,17.639160,2.441406,99
1236358,0.321045,0.946167,0.067261,-0.915527,6.713867,3.601074,99
1236455,0.296631,0.988892,0.036865,3.173828,-2.746582,2.075195,97
1236553,0.258179,0.882324,-0.029297,4.760742,-10.681151,3.173828,98
1236652,0.188599,1.021973,-0.034790,-1.464844,-11.474608,-9.399414,99
1236752,0.289917,1.043579,-0.005981,3.662109,0.549316,-2.807617,100
1236851,0.269043,0.994263,0.049316,7.263183,9.765625,6.408691,99
