Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.144531,-1.062500,0.091064,-0.854492,-21.850584,1.892090
-0.003418,-1.140503,0.161987,-12.573241,-12.207030,9.399414
0.188110,-1.078857,-0.206177,29.113768,-70.373535,-26.367186
0.055542,-1.346558,-0.164917,-7.629394,3.662109,10.681151
-0.055298,-1.230713,-0.047363,9.582520,-0.183105,1.037598
-0.093262,-1.206421,-0.049316,5.676269,-8.666992,4.272461
-0.059814,-1.066406,-0.021851,-10.986327,7.690429,0.915527
0.017456,-0.951416,0.091919,-15.686034,-0.244141,0.366211
-0.019775,-0.824585,0.090942,-21.667479,8.361816,5.493164
0.061279,-0.808472,0.114014,-24.597166,-0.976562,2.929687
-0.126343,-0.749756,0.100952,-29.479979,-22.338865,5.737304
0.019775,-0.651245,0.177368,-16.845703,-21.850584,1.098633
-0.125488,-0.882690,0.241211,-1.342773,-5.310058,4.455566
-0.024170,-1.037109,0.192017,3.906250,3.662109,6.347656
-0.041870,-0.940918,0.149048,13.793944,1.647949,0.854492
-0.053223,-0.877075,0.106689,17.883301,5.065917,-2.258301
0.003296,-0.778198,0.124146,28.137205,-4.333496,-6.530761
-0.067993,-0.782349,0.116333,19.470215,-3.234863,-0.671387
-0.034790,-0.836304,0.084717,7.507324,1.159668,-0.183105
-0.055420,-0.894531,0.060181,-5.676269,5.859375,-5.432128
-0.143311,-0.941772,0.053345,-4.699707,10.070800,-17.272949
-0.139771,-1.003540,0.078247,-0.549316,7.080078,-18.127441
-0.126587,-1.056885,0.049438,6.530761,-3.479004,-15.258788
-0.122803,-1.075439,0.085571,8.666992,10.131835,-16.296387
-0.184570,-1.134766,0.135132,2.319336,-2.868652,-1.953125
-0.592651,-1.474731,0.172485,-2.014160,-16.662598,-20.629881
-0.415771,-1.377319,0.065186,10.559081,34.118652,30.517576
-0.171997,-1.354492,0.220703,1.770019,1.647949,32.836914
0.028687,-1.218506,-0.028809,0.183105,1.281738,28.259275
-0.177734,-1.217163,0.063232,-0.671387,-0.427246,12.512206
-0.001099,-1.170532,-0.016479,-16.479492,-1.647949,14.831542
-0.098022,-0.917603,-0.114624,-25.268553,-1.220703,-1.586914
0.112793,-0.661743,0.078369,-29.113768,4.394531,-4.211426
0.000122,-0.682495,0.146729,-25.390623,-6.469726,-6.469726
0.175049,-0.612915,0.156616,-37.902832,9.765625,3.723144
