Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.150024,0.596802,0.514038,3.417969,-2.685547,8.422852
0.148682,0.672607,0.536377,11.840819,-3.112793,0.915527
0.176147,0.710327,0.592651,23.498533,-8.605957,7.629394
0.114380,0.679443,0.580566,14.831542,-5.737304,11.352538
0.073730,0.637207,0.611816,9.765625,-5.737304,1.953125
0.096680,0.634155,0.670410,-4.638672,-2.929687,-0.732422
0.090210,0.663818,0.701782,4.760742,-8.666992,2.929687
0.046021,0.685913,0.780273,13.854980,-10.498046,4.821777
0.020630,0.672363,0.784302,17.761230,-9.521484,5.859375
0.023071,0.677002,0.869507,0.793457,0.244141,-0.122070
0.044678,0.727173,0.890015,1.831055,-7.629394,0.488281
0.034790,0.789795,0.922729,-5.554199,-6.774902,-1.098633
0.002686,0.923096,1.006958,-4.516602,5.249023,-0.610352
0.029053,0.875610,0.975586,-2.197266,6.347656,-5.981445
0.035400,0.717407,0.828003,-2.868652,-0.244141,-1.708984
0.045898,0.649902,0.675537,-6.958007,5.004883,-4.699707
0.053345,0.674927,0.691528,-6.713867,10.925292,-6.835937
0.090088,0.728149,0.739868,1.831055,9.704590,-3.173828
0.105957,0.720093,0.742554,-2.685547,2.197266,-1.770019
0.093506,0.720215,0.692139,-9.704590,2.807617,-5.065917
0.127197,0.685669,0.656738,-11.840819,9.277344,-4.455566
0.109863,0.523437,0.498901,-15.014647,0.793457,-5.981445
0.087036,0.389282,0.307739,-9.399414,-1.831055,0.671387
0.140991,0.652466,0.725586,25.695799,-2.807617,0.183105
0.156860,0.778320,0.768066,-30.090330,19.042969,-15.991210
0.115601,0.473389,0.420410,22.521971,-15.258788,9.826660
0.093140,0.397095,0.388062,25.390623,-17.944336,12.451171
0.112671,0.614624,0.669434,15.991210,3.295898,-1.037598
0.099854,0.630615,0.767212,-3.051758,6.286621,6.896972
0.058716,0.682129,0.812012,13.793944,-17.944336,7.507324
0.040771,0.692627,0.796509,5.371093,-8.850098,7.324218
0.026123,0.681885,0.810303,3.295898,-3.540039,5.859375
0.040527,0.698608,0.875122,5.981445,-9.094238,2.990722
0.009644,0.896606,1.067017,-6.469726,0.549316,-0.488281
0.035278,0.986694,1.161377,-3.295898,8.605957,-5.004883
0.042603,0.857056,1.056519,-4.028320,4.516602,-2.197266
0.043823,0.700195,0.793457,-9.948730,5.798339,-2.502441
0.046143,0.641602,0.746948,-6.164550,7.934570,-3.112793
0.061157,0.660156,0.724854,-6.530761,7.019042,-3.295898
0.079956,0.679565,0.754639,-10.192870,10.070800,-7.385253
0.094482,0.670044,0.678101,-10.009766,1.586914,-7.141113
0.104980,0.685059,0.646729,-18.249512,6.103515,-11.169433
0.096436,0.528076,0.482178,-20.263670,9.704590,-9.277344
0.084961,0.403320,0.329224,-1.220703,-7.629394,-1.220703
0.155762,0.716431,0.609985,36.987305,-3.173828,8.972168
0.127563,0.706299,0.586304,-23.742674,9.826660,-8.605957
0.078979,0.385376,0.290894,7.568359,-11.840819,11.169433
0.087158,0.527832,0.447388,26.916502,-11.047362,3.173828
0.122314,0.656006,0.669678,4.516602,-0.915527,2.563476
0.088623,0.659302,0.734009,12.695312,-8.972168,3.601074
0.039429,0.700684,0.816040,5.676269,-11.230468,2.807617
0.028198,0.692383,0.857178,11.657714,-12.023925,5.554199
0.022461,0.752197,0.916016,3.723144,-2.197266,3.417969
0.016235,0.910400,1.083252,1.647949,-0.793457,2.136230
0.010620,0.999878,1.164551,-1.281738,3.417969,-4.577637
0.033813,0.800659,1.010864,1.464844,0.976562,0.854492
0.042480,0.686279,0.828369,-10.864257,5.126953,-6.469726
0.071899,0.647827,0.723145,-2.624511,5.554199,-4.211426
0.090942,0.643188,0.762329,-0.610352,4.577637,-4.821777
0.097046,0.675537,0.744141,-7.995605,4.699707,-5.981445
0.104858,0.667969,0.687134,-10.925292,3.723144,-5.432128
0.105103,0.599487,0.591797,-19.287109,9.765625,-3.662109
0.072754,0.421021,0.373169,-14.587401,4.516602,0.244141
0.099609,0.387695,0.361572,13.732909,-11.779784,4.943848
0.066040,0.416504,0.432617,-2.868652,1.342773,4.943848
0.051392,0.472290,0.559692,14.587401,-9.094238,-0.305176
0.065674,0.522949,0.669434,23.437498,-10.986327,4.028320
0.053101,0.659302,0.786865,-1.708984,-3.784179,1.647949
0.048462,0.713135,0.896240,11.352538,-5.065917,9.460449
0.026123,0.743286,0.903931,7.873535,-3.601074,7.202148
0.015015,0.890991,1.133789,1.953125,1.342773,3.601074
0.023315,0.990234,1.215088,-6.042480,5.310058,-4.943848
0.025024,0.854492,1.026733,-2.868652,5.065917,-2.807617
0.047729,0.672607,0.822021,1.525879,1.953125,-2.380371
0.046631,0.612915,0.761719,1.464844,3.601074,1.159668
0.027466,0.598267,0.788574,1.647949,2.868652,0.427246
0.001709,0.619019,0.823730,-8.850098,6.042480,-3.356933
0.037231,0.590576,0.723755,-7.141113,0.793457,-4.699707
0.051392,0.585083,0.665283,-16.296387,6.652832,-7.507324
0.057495,0.548096,0.590088,-17.272949,6.530761,-7.202148
0.053467,0.394287,0.411865,-12.573241,1.159668,-2.929687
0.096680,0.657227,0.670532,4.760742,5.432128,-8.728027
0.151245,0.847656,0.827271,-19.165039,11.047362,-11.413573
0.101318,0.478027,0.436523,13.916015,-5.798339,10.803222
0.079224,0.439697,0.381348,18.920898,-10.620116,10.620116
0.107910,0.479858,0.567017,22.033689,-6.286621,3.845215
0.125488,0.600830,0.674805,12.817382,-7.263183,5.676269
0.056763,0.627563,0.818481,20.629881,-13.610839,10.375976
0.027710,0.637573,0.837891,12.084960,-15.441894,7.202148
-0.010742,0.629150,0.886230,9.765625,-9.765625,6.469726
-0.024902,0.658569,0.958496,0.244141,-4.150391,5.432128
-0.049072,0.834473,1.173828,-3.417969,-1.647949,-2.136230
-0.033936,0.933472,1.249634,-15.258788,7.507324,-5.065917
-0.008545,0.755493,0.995728,-5.249023,5.126953,-0.854492
0.006836,0.620850,0.842651,-7.873535,7.568359,-5.615234
0.031006,0.577881,0.777710,-11.962890,10.925292,-6.652832
0.034058,0.603149,0.776123,-5.920410,3.295898,-4.638672
0.034058,0.630249,0.745483,-14.587401,6.225585,-7.141113
0.049316,0.619141,0.716309,-5.920410,2.624511,-8.056641
0.084351,0.589478,0.635132,-20.446775,9.033203,-11.962890
0.086304,0.493042,0.511841,-14.465331,4.211426,-6.469726
0.050293,0.419678,0.403931,-4.211426,1.770019,4.516602
0.140625,0.753174,0.795166,6.774902,0.305176,-7.202148
0.146606,0.703491,0.736572,-13.305663,5.981445,-5.371093
0.146118,0.475464,0.497681,0.915527,-5.676269,1.159668
0.073364,0.406860,0.472900,2.563476,-2.807617,13.854980
0.038330,0.470703,0.525879,11.535644,-4.028320,5.798339
0.000000,0.615234,0.630249,13.793944,-6.042480,2.258301
-0.019165,0.663574,0.750366,9.094238,-9.765625,-2.258301
0.012329,0.695801,0.808716,3.906250,-4.882812,2.319336
-0.000244,0.677490,0.803467,15.930175,-6.286621,6.652832
-0.032104,0.745117,1.020752,15.869140,-3.601074,10.192870
-0.001953,0.903931,1.213989,-3.540039,1.953125,-6.408691
0.047241,0.888184,1.195190,-8.850098,9.033203,-4.150391
0.042603,0.742065,0.985229,-7.324218,3.967285,-1.281738
0.031250,0.631470,0.803589,-10.742187,8.178711,-0.610352
0.034546,0.599121,0.747192,-10.253905,8.728027,-0.915527
0.037842,0.629272,0.776123,-5.493164,2.136230,-3.417969
0.059570,0.665283,0.753052,-18.432617,6.652832,-8.056641
0.053223,0.640503,0.692383,-13.549804,3.723144,-6.774902
0.073364,0.581909,0.603638,-19.226074,7.568359,-12.512206
0.079468,0.470093,0.407837,-26.367186,7.446289,-9.704590
0.107666,0.507935,0.412964,9.521484,-8.605957,1.403808
0.181641,0.831543,0.744385,14.343261,-2.746582,2.868652
