Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.131104,0.777222,0.536499,3.479004,-6.286621,2.075195
0.176147,0.759888,0.624756,6.774902,-2.136230,-11.413573
0.197510,0.763916,0.604004,2.502441,1.281738,-9.826660
0.201172,0.729370,0.631348,0.671387,0.244141,-0.427246
0.200684,0.718018,0.634888,-4.211426,-16.418457,-1.037598
0.240479,0.808228,0.582153,-7.873535,0.366211,6.469726
0.202637,0.787476,0.612061,-15.380858,4.760742,2.075195
0.196045,0.689087,0.467529,6.042480,3.662109,1.647949
0.113281,0.542603,0.414795,5.493164,2.929687,8.300781
0.140503,0.627808,0.501099,12.939452,-5.126953,0.915527
0.150146,0.712891,0.585693,10.681151,0.366211,1.770019
0.126465,0.765259,0.570068,3.051758,-1.159668,2.075195
0.151855,0.787476,0.644531,1.098633,0.976562,-0.854492
0.126221,0.762695,0.688721,18.615723,-11.474608,9.521484
0.133545,0.708740,0.692871,24.169920,-15.197753,13.427733
0.098511,0.642212,0.740723,18.005371,-13.305663,6.591796
0.083496,0.678101,0.809448,10.131835,-16.540527,6.042480
0.046021,0.636719,0.783813,2.380371,-11.474608,5.371093
0.001709,0.701050,0.817505,0.488281,-6.713867,5.859375
0.010986,0.836548,0.939819,-2.685547,6.103515,-4.516602
0.074951,0.906372,1.033081,-7.934570,17.272949,-8.605957
0.074707,0.826660,0.922363,-1.892090,15.869140,-4.394531
0.101563,0.684204,0.786743,-0.366211,2.990722,-8.850098
0.112671,0.639282,0.734619,-2.563476,11.291503,-5.004883
0.132935,0.716553,0.732300,-8.666992,13.549804,-10.986327
0.156128,0.679687,0.758789,-1.708984,9.948730,-3.967285
0.145630,0.663940,0.651001,-7.507324,13.000487,-4.821777
0.186401,0.702271,0.638916,-16.174316,11.779784,-9.399414
0.165894,0.630371,0.540405,-8.117676,8.850098,-2.380371
0.224976,0.563843,0.484863,-9.765625,-0.976562,-4.272461
0.238525,0.428101,0.423096,-3.417969,0.366211,-6.408691
0.281860,0.789185,0.652588,0.793457,12.207030,-7.141113
0.165039,0.574097,0.471802,-4.089355,-5.859375,5.859375
0.093628,0.511353,0.367310,28.198240,-24.536131,9.643555
0.136597,0.608276,0.503174,18.249512,-18.371582,10.620116
0.142944,0.641846,0.626953,8.239746,-11.108397,8.178711
0.168091,0.646118,0.754028,12.817382,-12.268065,6.774902
0.162476,0.643066,0.745728,6.713867,-11.596679,6.835937
0.119263,0.651001,0.799316,-8.605957,-1.098633,4.333496
0.063110,0.655884,0.807495,-7.446289,-16.845703,11.047362
0.057251,0.726074,0.829102,2.380371,-9.216309,4.699707
0.067993,0.875854,0.996460,-3.662109,-0.122070,-2.807617
0.084717,0.954590,1.097412,2.990722,3.234863,-6.530761
0.094727,0.882568,1.030396,2.380371,7.202148,-3.906250
0.062988,0.699585,0.831177,0.366211,7.934570,-3.784179
0.081055,0.664673,0.751465,-7.202148,12.695312,-5.126953
0.104980,0.679687,0.706787,-13.671874,15.502929,-6.530761
0.149902,0.637329,0.663574,-19.165039,10.192870,-9.399414
0.158691,0.624878,0.612427,-17.150879,12.939452,-10.803222
0.208496,0.654297,0.563843,-7.568359,7.812500,-9.826660
0.185669,0.564697,0.461792,-9.826660,7.690429,-6.958007
0.142456,0.452637,0.333252,3.173828,-2.685547,0.122070
0.364136,0.867432,0.678223,12.451171,12.695312,-1.892090
0.224976,0.543457,0.501953,-2.685547,3.540039,-0.061035
0.196045,0.416992,0.467041,22.705076,-4.577637,6.591796
0.216675,0.586426,0.636963,24.597166,1.647949,1.647949
0.180420,0.556396,0.683472,16.723633,-4.455566,3.906250
0.136841,0.659790,0.805908,9.338379,-5.676269,-3.051758
0.134155,0.669556,0.875122,3.784179,-12.695312,2.868652
0.111938,0.673584,0.905518,5.187988,-19.287109,4.333496
0.077148,0.687500,0.910278,-3.784179,-10.375976,10.803222
0.042603,0.938965,1.086060,-20.507811,5.249023,-4.821777
0.060669,1.051270,1.149414,-7.568359,10.070800,-9.033203
0.067505,0.854004,0.923096,-2.258301,5.371093,-3.356933
0.092773,0.672729,0.725708,-2.929687,4.760742,-8.666992
0.115601,0.658081,0.724243,-7.324218,16.845703,-8.422852
0.142700,0.654297,0.692139,-6.896972,10.986327,-7.812500
0.149292,0.629150,0.643555,-8.911133,9.216309,-9.460449
0.174927,0.633057,0.594971,-5.554199,9.399414,-7.995605
0.213989,0.614990,0.579712,-9.094238,14.648437,-7.080078
0.157227,0.451782,0.388062,-9.582520,-0.183105,0.854492
0.211304,0.571289,0.519531,9.948730,1.892090,3.295898
0.212280,0.586182,0.524902,3.173828,1.586914,1.831055
0.233032,0.449097,0.534790,10.803222,-1.892090,5.432128
0.233398,0.559814,0.644043,14.465331,6.225585,0.000000
0.170898,0.610474,0.728760,10.803222,2.563476,5.126953
0.120117,0.691040,0.753174,12.084960,-6.774902,3.784179
0.171875,0.669189,0.822144,0.122070,-12.390136,-1.647949
0.150146,0.709595,0.871216,-3.234863,-16.296387,5.798339
0.112305,0.713135,0.825439,-8.117676,-7.568359,11.535644
0.100342,0.953003,1.067749,-5.676269,0.549316,5.310058
0.119385,1.029541,1.140503,-7.202148,5.432128,-10.559081
0.120728,0.864746,0.950317,-3.417969,8.361816,-8.850098
0.124268,0.689331,0.746948,1.098633,4.516602,-7.690429
0.143921,0.669922,0.699829,-0.305176,13.549804,-6.469726
0.141113,0.657593,0.675293,2.746582,6.713867,-3.295898
0.146362,0.615356,0.633057,-1.525879,6.774902,-7.568359
0.178589,0.609863,0.637573,-3.417969,6.469726,-9.216309
0.192383,0.610474,0.614258,-7.629394,10.681151,-4.699707
0.185547,0.595825,0.594238,-17.272949,12.023925,-6.164550
0.144897,0.449585,0.404541,-15.014647,1.831055,-5.920410
0.280396,0.723999,0.640259,3.723144,9.521484,-4.028320
0.262573,0.666504,0.641357,-7.446289,0.305176,-0.183105
0.164307,0.443604,0.394165,12.145995,-13.916015,7.324218
0.176636,0.479858,0.467285,15.197753,-13.061522,8.911133
0.221802,0.637329,0.620117,14.282226,-7.873535,0.793457
0.197876,0.624756,0.714722,5.920410,-17.395020,2.563476
0.168335,0.766724,0.766479,1.220703,-12.451171,2.197266
0.120972,0.713623,0.811523,-3.723144,-12.817382,2.075195
0.057617,0.669556,0.780884,-5.126953,-12.268065,11.291503
0.050903,0.757690,0.804321,-11.962890,-4.089355,1.892090
0.115967,1.115479,1.109131,-13.549804,13.977050,-7.568359
0.174072,1.134644,1.130249,9.704590,3.051758,-5.920410
0.103638,0.863525,0.897827,13.183593,4.394531,1.708984
0.106567,0.647827,0.682007,9.643555,10.437011,-3.234863
0.128906,0.649048,0.694824,4.150391,11.779784,-7.751464
0.154297,0.673340,0.722778,4.394531,10.498046,-1.953125
0.160522,0.663574,0.703613,-6.042480,11.779784,-7.385253
0.176758,0.619751,0.641357,-8.605957,12.634276,-6.530761
0.199829,0.617432,0.624878,-15.441894,13.916015,-6.774902
0.219238,0.581787,0.560181,-14.282226,13.610839,-6.896972
0.179565,0.475220,0.404175,-12.939452,0.854492,-7.873535
0.221924,0.570190,0.542969,10.864257,2.807617,-1.525879
0.191406,0.656128,0.567383,-0.610352,1.892090,5.493164
0.092407,0.459473,0.317505,5.371093,-18.127441,7.934570
0.099731,0.476074,0.353394,22.766111,-25.451658,17.089844
0.084717,0.516357,0.603882,11.779784,-11.291503,21.728514
0.078125,0.703491,0.746338,2.868652,-7.873535,8.911133
0.085205,0.731201,0.754883,-2.502441,-14.282226,5.065917
0.073120,0.685425,0.770996,-6.469726,-18.615723,4.333496
0.093140,0.666870,0.736572,-1.159668,-20.446775,4.211426
0.061768,0.775269,0.840942,-17.333984,-2.258301,-0.427246
0.091064,1.052368,1.135986,-8.972168,2.746582,-9.643555
0.132324,1.000366,0.991699,-0.305176,0.122070,-13.122558
0.115356,0.833252,0.887817,9.155273,4.577637,-7.080078
0.086670,0.665771,0.700928,7.751464,6.530761,-5.004883
0.120117,0.649292,0.747559,-4.943848,14.099120,-8.544922
0.167480,0.671875,0.721680,-10.009766,15.380858,-8.911133
0.195679,0.680054,0.710693,-14.160155,14.953612,-10.559081
0.208374,0.645996,0.617798,-12.878417,11.230468,-10.437011
0.210083,0.634399,0.574829,-16.540527,10.803222,-9.033203
0.205078,0.515259,0.406372,-11.047362,0.671387,-5.249023
0.169800,0.414795,0.400513,-7.446289,-3.234863,8.239746
0.326538,0.865723,0.618774,-4.333496,7.507324,-12.145995
0.180176,0.464722,0.402222,-3.112793,-3.112793,4.516602
0.202148,0.399902,0.397583,18.615723,-18.249512,4.638672
0.278320,0.640991,0.581055,7.507324,-9.826660,1.892090
0.275879,0.791382,0.692383,19.836426,-21.789549,6.652832
0.187988,0.774414,0.707642,12.512206,-18.676758,3.479004
0.091797,0.699097,0.789307,6.835937,-14.465331,11.230468
0.086426,0.706909,0.737427,6.347656,-15.747069,7.324218
0.069702,0.726807,0.844849,-1.708984,-8.544922,6.652832
0.079468,0.887939,1.021118,-7.019042,-10.192870,0.976562
0.126709,1.028320,1.117798,-10.559081,3.356933,-10.559081
0.124390,0.989502,1.029785,-5.065917,7.995605,-9.338379
0.109131,0.736816,0.775269,5.187988,7.812500,-5.065917
0.120728,0.645386,0.678955,-7.080078,15.014647,-10.009766
0.149170,0.670654,0.692383,-8.239746,11.901855,-9.765625
0.185913,0.703613,0.640503,-5.187988,15.624999,-9.399414
0.214600,0.685791,0.620850,-7.263183,10.803222,-10.253905
0.221069,0.622681,0.574829,-0.671387,5.493164,-13.061522
0.226074,0.611328,0.600708,-6.103515,9.216309,-2.014160
0.213013,0.585693,0.495483,-15.075683,3.845215,-6.408691
0.165283,0.425659,0.364258,-13.793944,7.446289,-1.892090
0.374756,0.896973,0.670532,-3.417969,10.925292,-8.422852
0.249878,0.566040,0.488281,-1.037598,-6.896972,3.540039
0.174072,0.436401,0.333496,26.489256,-18.737793,14.221190
0.215332,0.547363,0.478882,13.549804,-10.742187,9.094238
0.252686,0.680908,0.606567,6.530761,-7.507324,5.004883
0.221680,0.706055,0.739990,17.944336,-23.925779,14.648437
0.148804,0.740967,0.764526,14.587401,-24.475096,16.113281
0.059204,0.696411,0.800903,4.211426,-18.676758,15.319823
0.026611,0.699341,0.847046,-1.281738,-4.821777,7.690429
0.047607,0.906128,1.022095,-13.854980,3.723144,-4.394531
0.077026,1.057495,1.152466,-0.549316,7.141113,-9.338379
0.093628,0.904175,0.977783,2.075195,8.483887,-5.798339
0.083618,0.682495,0.792969,5.065917,11.535644,-5.859375
0.105469,0.632202,0.720825,-7.629394,16.052246,-8.422852
0.155151,0.684570,0.709961,-16.967773,18.920898,-11.779784
0.193359,0.683472,0.671021,-13.427733,11.596679,-10.864257
0.238281,0.668945,0.633667,-12.207030,11.535644,-8.483887
0.254517,0.638184,0.566040,-10.192870,10.742187,-5.676269
0.243530,0.565430,0.478760,-12.207030,8.728027,-4.516602
0.159668,0.411377,0.327637,-14.953612,0.976562,-0.244141
0.301147,0.728027,0.569946,7.202148,11.962890,-6.408691
0.281494,0.747070,0.612427,-7.141113,2.136230,-3.234863
0.235229,0.549683,0.372681,9.216309,-11.718749,2.746582
0.164551,0.402466,0.330200,3.845215,-16.113281,14.099120
0.201660,0.530884,0.495972,26.489256,-19.104004,16.418457
0.199585,0.721680,0.656982,22.705076,-21.789549,16.235352
0.143555,0.727539,0.812866,13.671874,-23.315428,12.023925
0.058838,0.772461,0.792847,9.643555,-20.935057,5.737304
0.052002,0.689331,0.831543,0.854492,-17.089844,9.948730
