Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,dt
1069692,0.376465,0.896484,-0.060791,-2.258301,-3.601074,-0.183105,97
1069789,0.358398,0.907715,-0.043579,-4.394531,3.601074,3.173828,97
1069886,0.373047,0.940552,-0.072876,-0.061035,-4.150391,6.225585,97
1069983,0.290405,0.770508,-0.091431,0.549316,-1.037598,20.324705,97
1070081,0.206421,0.871216,-0.141602,-1.708984,-8.117676,28.442381,98
1070180,0.225098,1.040039,-0.131714,-18.676758,4.760742,23.498533,99
1070278,0.262085,0.877686,-0.003906,-30.700682,19.104004,10.375976,98
1070376,0.175049,1.014648,-0.093628,-23.193357,9.155273,14.465331,98
1070473,0.128418,0.850220,-0.086670,-11.108397,-0.976562,23.437498,97
1070570,0.181885,0.866455,-0.178223,-7.934570,-0.366211,22.094725,97
1070667,0.223389,0.947998,-0.385620,-1.403808,5.615234,14.892577,97
1070765,0.147583,1.051025,-0.336426,-0.732422,-7.080078,-2.685547,98
1070862,0.075439,0.989624,-0.304199,7.873535,-0.488281,-5.493164,97
1070959,0.112549,1.021973,-0.246826,7.751464,-2.136230,-2.258301,97
1071056,0.176758,0.913574,-0.135986,19.165039,-11.535644,13.244628,97
1071154,0.079346,0.916992,-0.072754,17.639160,-12.817382,-6.530761,98
1071251,0.047485,0.937378,0.065063,7.812500,1.342773,-7.873535,97
1071348,0.100098,0.976929,-0.058960,9.521484,-9.765625,-2.258301,97
1071446,0.152832,1.058472,-0.163818,-6.713867,5.676269,-7.934570,98
1071544,0.146729,1.110229,-0.103882,-10.314940,12.145995,-1.770019,98
1071642,0.133179,1.010620,-0.223267,-4.882812,3.723144,9.399414,98
1071740,0.082153,1.553833,-0.125854,-21.057127,9.887695,-20.812986,98
1071839,0.265869,1.501709,-0.263916,1.647949,-12.634276,22.399900,99
1071936,-0.097900,0.855713,0.042603,11.108397,24.963377,-6.103515,97
1072033,0.168823,0.731689,-0.116577,48.461910,-28.991697,-57.739254,97
1072131,0.193115,0.478394,-0.015747,31.127928,4.211426,-50.354000,98
1072229,0.169189,0.540039,0.018188,16.174316,3.051758,-33.874512,98
1072326,0.170776,0.799805,0.176514,-11.901855,15.930175,-2.563476,97
1072423,0.273804,0.944458,-0.050781,-5.920410,6.286621,-14.404296,97
1072520,0.234497,0.884155,-0.000488,-10.192870,9.643555,-7.751464,97
1072617,0.177490,0.543945,-0.100464,-21.606443,5.371093,48.706051,97
1072715,0.209717,0.865723,-0.205933,-51.330563,25.573729,52.551266,98
1072813,0.166504,1.019653,-0.082397,-24.414061,1.098633,28.686522,98
1072911,0.148437,1.094360,-0.140747,-9.521484,4.333496,13.732909,98
1073009,0.003296,0.770996,-0.102905,-14.282226,-13.916015,11.474608,98
1073107,0.105835,0.955811,-0.234497,-16.723633,7.080078,-1.281738,98
1073204,0.161377,1.138306,-0.397339,19.775391,5.371093,-9.216309,97
1073302,0.185791,1.149658,-0.357300,26.000975,-3.723144,-26.428221,98
1073401,0.189209,1.132446,-0.121460,12.268065,13.854980,-22.399900,99
1073498,0.209961,1.027344,-0.084839,18.066406,-9.399414,6.958007,97
1073595,0.286011,1.275024,-0.224609,-2.075195,-4.272461,-0.915527,97
1073692,0.300049,1.489380,0.025391,-74.890137,45.776363,15.686034,97
1073790,0.457886,1.281250,-0.887573,56.762691,-78.430176,23.620604,98
1073887,0.347168,0.924194,-0.166016,43.151852,-3.417969,-56.762691,97
1073984,0.157471,0.411865,-0.043701,47.485348,-1.037598,-78.063965,97
1074081,0.102295,0.518677,0.009155,9.826660,2.197266,-9.887695,97
1074178,0.457275,1.025391,-0.019043,5.126953,-5.126953,10.437011,97
1074275,0.271606,0.843384,0.017822,-0.244141,-0.732422,-4.577637,97
1074372,0.346680,0.878906,-0.002563,-9.094238,-5.920410,6.835937,97
1074469,0.132080,0.620850,-0.197998,-25.939939,-0.915527,39.184570,97
1074566,0.255859,0.641846,-0.086304,-34.606934,14.282226,55.541988,97
1074663,0.249146,1.109619,0.136353,-15.686034,5.432128,15.441894,97
1074760,0.179932,1.142578,-0.096436,-3.662109,0.305176,17.150879,97
1074857,0.045410,0.958008,-0.154419,-11.352538,2.746582,24.597166,97
1074954,0.205444,0.981812,-0.133179,1.892090,6.469726,19.592285,97
1075051,0.183105,1.109131,-0.173828,-10.925292,10.498046,-9.582520,97
1075148,0.130371,1.062012,-0.268799,-2.685547,3.845215,-3.112793,97
1075245,0.093872,1.083008,-0.198364,10.437011,-2.563476,-14.282226,97
1075342,0.090576,1.091553,-0.137939,22.094725,-0.671387,-4.028320,97
1075439,0.062866,1.015381,-0.077148,2.563476,4.516602,-6.835937,97
1075536,0.078247,1.056763,-0.052490,-4.089355,2.502441,-3.173828,97
1075633,0.249023,1.526001,-0.336548,-18.920898,3.173828,-20.751951,97
1075731,0.033813,1.456543,-0.109741,-54.748531,61.157223,44.311520,98
1075828,0.203369,0.932983,-0.087280,39.611816,-45.898434,1.892090,97
1075925,0.020508,0.650879,-0.048706,52.673336,-41.503902,-57.678219,97
1076022,0.198608,0.476929,-0.088745,35.400391,2.319336,-61.218258,97
1076119,0.161011,0.602661,-0.114136,6.713867,-9.948730,-25.512693,97
1076216,0.238281,0.956665,0.000244,9.826660,3.234863,-7.019042,97
1076313,0.211670,0.807495,0.030396,-1.708984,1.281738,-4.699707,97
1076410,0.284302,0.943481,0.088989,0.244141,-0.915527,-1.586914,97
1076507,0.212158,0.868164,0.059082,-2.380371,8.666992,6.958007,97
1076604,0.076050,0.506836,-0.119263,-9.948730,8.605957,52.490231,97
1076700,0.356689,1.263550,-0.303589,-31.127928,-6.896972,14.648437,96
1076797,0.223633,1.171143,-0.111938,-16.601562,-3.173828,39.672852,97
1076894,0.081543,0.998169,-0.090210,-7.995605,-6.408691,31.677244,97
1076991,0.115234,0.973267,-0.146118,-8.422852,0.915527,10.314940,97
1077088,0.002808,0.946045,0.023315,-18.554687,20.080564,-7.568359,97
1077185,0.032959,0.931152,0.078491,4.150391,0.793457,4.211426,97
1077282,0.083984,0.976196,-0.028442,9.094238,-6.042480,1.831055,97
1077379,0.107910,1.006470,-0.061279,0.793457,-4.455566,-4.394531,97
1077476,0.175781,1.073486,-0.108887,-10.864257,-3.601074,-6.958007,97
1077573,0.154907,1.050293,-0.099854,-5.187988,-2.197266,1.037598,97
1077670,0.267456,1.305298,-0.377686,7.263183,-1.281738,-0.244141,97
1077767,0.225708,1.732910,-0.082397,-58.227535,20.263670,-14.587401,97
1077864,0.312988,1.095581,-0.363159,27.221678,-26.977537,40.161129,97
1077961,0.050293,0.804932,-0.246948,31.372068,-2.868652,-26.977537,97
1078058,0.063721,0.599609,-0.004272,41.137691,-4.821777,-61.828609,97
1078155,0.048828,0.372681,-0.045166,40.710445,-24.475096,-35.156250,97
1078252,0.152710,0.741821,0.104492,10.742187,-6.896972,4.821777,97
1078351,0.403076,1.061157,-0.026489,-2.746582,9.521484,5.126953,99
1078450,0.298462,0.939087,0.027466,5.371093,3.479004,-9.094238,99
1078548,0.238159,0.871338,0.025391,2.380371,9.277344,-9.887695,98
1078645,0.122314,0.586182,-0.048096,-13.916015,6.286621,27.404783,97
1078743,0.057007,0.554199,-0.098755,-50.842281,-2.136230,71.838379,98
1078842,0.281006,1.016113,-0.028198,-17.456055,10.864257,24.414061,99
1078939,0.311157,1.087158,-0.161133,-4.821777,10.375976,31.372068,97
1079037,0.022949,0.975830,-0.130615,-6.103515,-7.568359,38.391113,98
1079136,0.013794,0.942627,-0.060059,0.366211,12.817382,5.187988,99
1079235,0.042969,0.988647,0.032593,-6.469726,19.348145,-5.249023,99
1079334,0.045776,0.979980,-0.141724,-1.098633,-3.845215,4.028320,99
1079432,0.032104,1.087769,-0.183472,-11.657714,9.338379,-22.399900,98
1079530,0.064453,1.157837,-0.298706,9.277344,-0.305176,-5.737304,98
1079628,0.065552,1.079590,-0.163330,7.202148,-0.122070,-12.695312,98
1079726,0.082275,1.070801,-0.067749,15.808105,7.934570,-6.652832,98
1079824,0.141724,1.165283,-0.066772,-1.770019,-8.178711,-3.417969,98
1079922,0.071655,1.640991,0.055542,-23.132322,5.920410,4.394531,98
1080020,0.303955,1.196655,-0.199097,-22.094725,-6.774902,-15.808105,98
1080119,0.261597,1.007935,-0.238037,19.165039,-13.488769,-50.354000,99
1080217,0.110596,0.488892,-0.163086,46.264645,-12.329101,-40.405270,98
1080315,0.040649,0.260376,-0.160278,29.785154,-37.475586,-46.081539,98
1080413,0.444458,0.968994,-0.161987,11.840819,-9.277344,-13.183593,98
1080511,0.318970,0.915894,-0.102539,-2.380371,9.887695,-5.676269,98
1080609,0.450439,0.959106,0.065186,-4.028320,3.723144,5.798339,98
1080706,0.329956,0.861328,0.046265,5.493164,0.488281,-4.211426,97
1080803,0.193604,0.581909,-0.065308,-16.662598,9.155273,39.062500,97
1080900,0.267212,0.875610,-0.086304,-39.550781,7.446289,67.871094,97
1080997,0.153687,1.189087,-0.279053,-5.249023,-2.075195,31.616209,97
1081095,0.140137,0.956299,-0.052612,-4.028320,-6.774902,17.700195,98
1081193,0.101318,1.002319,-0.023560,-21.850584,8.361816,4.516602,98
1081291,-0.009888,0.928345,-0.100220,-31.982420,16.601562,-1.525879,98
1081390,0.061035,0.962402,-0.179443,-2.136230,3.051758,5.493164,99
1081488,0.067383,1.023193,-0.206177,13.183593,0.610352,-4.455566,98
1081586,0.088745,1.013550,-0.101807,17.456055,-11.779784,-17.517090,98
1081685,0.047241,1.048340,-0.031128,6.591796,-9.948730,-10.437011,99
1081783,0.121704,1.057373,-0.142944,17.822266,-4.211426,0.854492,98
1081882,0.145264,1.139648,-0.111328,0.671387,1.037598,-4.394531,99
1081980,0.135254,1.036621,-0.106934,-4.577637,-1.953125,13.854980,98
1082078,0.113770,1.574585,-0.007935,-35.705566,25.878904,-22.399900,98
1082178,0.290527,1.368286,-0.084473,-14.099120,16.845703,82.214348,100
1082276,0.065430,0.917725,-0.094849,25.268553,-30.700682,-16.906738,98
1082375,0.139404,0.545898,-0.094116,47.302242,-38.757324,-73.242187,99
1082473,-0.015503,0.280151,-0.110107,32.226562,-24.658201,-32.531738,98
1082572,0.280640,0.868774,0.021851,13.305663,-10.864257,4.028320,99
1082669,0.316895,0.951294,0.028198,7.507324,2.319336,-5.920410,97
1082767,0.281372,0.908936,0.067627,4.638672,-6.286621,-2.685547,98
1082865,0.235474,0.920532,0.078003,-4.272461,2.685547,-1.403808,98
1082962,0.205322,0.715820,0.049927,-8.605957,-0.305176,15.136718,97
1083059,0.173584,0.601074,0.021729,-52.307125,4.821777,72.326660,97
1083157,0.309814,1.070557,0.053223,-28.381346,17.150879,12.939452,98
