Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.061157,-1.041382,-0.472534,-4.821777,-22.583006,-1.098633
-0.088623,-1.494995,-0.365356,-1.647949,-25.085447,13.916015
0.158813,-1.318848,-0.143188,-25.024412,13.000487,17.028809
-0.003052,-1.139160,-0.188110,-31.555174,13.671874,13.305663
0.059448,-1.004028,-0.120117,-26.123045,-3.601074,11.291503
0.075195,-0.820801,-0.077515,-27.404783,4.028320,-3.479004
0.090088,-0.890259,-0.021851,-29.052732,-0.549316,-3.662109
-0.045654,-0.703125,-0.039307,-36.621094,4.028320,-0.488281
-0.005371,-0.716431,0.194702,-37.048340,10.925292,-19.775391
-0.026978,-0.988159,0.197266,-27.587889,-27.343748,-20.202635
-0.081177,-0.895264,0.182861,-33.691406,2.746582,-0.427246
0.008179,-0.880981,0.192139,-0.488281,-17.944336,2.685547
0.007813,-0.957642,0.203491,4.943848,8.239746,4.516602
0.025635,-0.886597,0.243042,26.000975,10.742187,1.708984
-0.087280,-0.815674,0.105103,50.842281,-2.624511,7.324218
-0.128662,-0.820435,0.085083,48.889156,18.554687,11.535644
-0.024292,-0.872681,-0.051025,39.794922,11.474608,10.009766
0.071289,-0.869995,0.038940,34.545898,-1.708984,2.624511
0.035645,-1.003174,-0.081909,23.742674,-8.850098,12.329101
0.070801,-0.943970,-0.200684,8.178711,11.047362,-5.249023
-0.023071,-0.910645,-0.249390,-3.295898,-15.136718,-2.807617
0.074219,-0.928101,-0.410522,3.601074,-9.399414,-1.403808
-0.059570,-0.981079,-0.406982,-0.244141,1.403808,-5.126953
0.078125,-1.069336,-0.316528,3.662109,-8.178711,-0.793457
-0.443604,-1.566650,-0.197388,-16.784668,39.245605,16.418457
-0.846313,-1.896240,-0.538818,50.048824,-45.410152,-16.784668
0.323120,-0.130737,-0.686768,24.658201,-40.893551,-29.296873
0.184937,-1.967041,-0.228760,-39.672852,45.593258,39.062500
0.114258,-1.019165,-0.205200,-16.357422,-0.671387,-9.155273
-0.206421,-1.370117,-0.090942,7.690429,-18.676758,-7.629394
-0.081787,-1.348999,-0.159790,-14.343261,12.512206,8.728027
0.028198,-1.180908,-0.134155,-11.962890,-2.197266,-5.065917
0.010376,-0.996338,-0.090698,-18.066406,-4.333496,2.380371
0.161987,-0.960449,-0.267822,-17.456055,-5.981445,7.202148
0.074585,-0.710693,-0.107544,-30.517576,3.601074,-4.150391
-0.007813,-0.738281,0.033691,-38.085937,10.131835,0.671387
0.046509,-0.619507,0.352783,-51.452633,19.775391,-15.747069
