Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,dt
1396615,0.238281,0.384277,-0.052979,-54.138180,37.109375,45.166012,98
1396713,0.346924,1.062500,-0.567383,-3.845215,24.658201,-7.568359,98
1396810,0.285034,0.552246,-0.094238,-24.841307,24.169920,48.767086,97
1396908,0.368774,0.895020,-0.099487,-17.211914,-8.361816,27.221678,98
1397005,0.286743,0.984253,-0.255981,14.404296,-25.024412,10.559081,97
1397104,0.324097,0.974976,0.207520,42.785641,20.141600,-5.676269,99
1397201,0.330322,0.886597,0.080322,34.301758,-32.836914,12.939452,97
1397298,0.360840,1.081543,-0.099487,17.578125,19.592285,-44.982906,97
1397396,0.355957,1.188965,-0.132690,15.869140,-8.239746,1.220703,98
1397494,0.407104,0.856079,0.127319,23.681639,-33.020020,4.516602,98
1397591,0.403687,0.905640,0.208252,19.470215,7.507324,-9.521484,97
1397689,0.353149,0.968018,0.143433,1.403808,-2.075195,3.173828,98
1397786,0.224976,0.794678,0.062500,0.305176,2.502441,-6.225585,97
1397885,0.447632,1.163818,0.108154,11.169433,14.892577,-0.549316,99
1397983,0.304810,0.824829,0.370361,-25.512693,29.907225,2.807617,98
1398082,0.424072,0.901611,0.089722,-13.061522,-20.751951,15.502929,99
1398181,0.427490,1.058350,-0.061890,-30.090330,-5.249023,7.141113,99
1398279,0.300415,1.043579,-0.060913,-21.118162,5.859375,15.991210,98
1398379,0.332520,0.837646,0.093140,-19.775391,13.305663,7.873535,100
1398477,0.384521,0.981689,0.051758,-13.671874,-16.540527,-4.333496,98
1398576,0.376587,1.013184,-0.071289,-13.854980,-30.883787,-17.761230,99
1398674,0.300903,0.912842,-0.060425,-0.915527,-18.920898,-24.108885,98
1398772,0.454346,0.873657,-0.196411,25.573729,-6.896972,-60.974117,98
1398870,0.356079,0.553467,-0.028809,70.068359,-9.094238,-31.127928,98
1398968,0.454102,0.538208,-0.088867,10.131835,-26.733397,-31.677244,98
1399065,0.647339,0.858521,-0.074707,-14.648437,-6.896972,-10.681151,97
1399162,0.755859,0.791382,-0.087769,-13.916015,-4.699707,-17.578125,97
1399260,0.717651,0.726929,-0.032959,-10.986327,-3.173828,-8.239746,98
1399358,0.604858,0.816895,-0.011597,-7.202148,7.263183,-0.183105,98
1399456,0.695068,0.779053,0.137695,-5.371093,20.996092,2.380371,98
1399554,0.664673,0.830688,0.038452,5.737304,-8.850098,-8.361816,98
1399651,0.618408,0.823120,0.006714,7.446289,5.737304,-4.760742,97
1399749,0.544922,0.802246,-0.064697,6.713867,-0.122070,-6.286621,98
1399848,0.551270,0.641602,-0.044678,-20.507811,6.347656,28.259275,99
1399946,0.497803,0.532959,-0.255859,-32.836914,50.781246,44.189449,98
1400045,0.286987,1.095337,-0.148071,-7.934570,8.605957,54.077145,99
1400143,0.517700,0.489990,0.025635,-11.230468,12.390136,92.346184,98
1400242,0.192749,1.261841,-0.069214,3.479004,-10.131835,-15.624999,99
1400341,0.311401,0.919067,0.104736,22.888182,6.347656,38.146973,99
1400438,0.307739,1.081909,-0.089844,17.761230,-20.751951,-43.395992,97
