Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,dt
657170,0.438110,0.870361,-0.006958,-2.136230,6.530761,-5.371093,97
657268,0.439331,0.922119,0.113892,0.000000,-0.366211,7.934570,98
657366,0.419434,0.874756,0.002319,-1.220703,0.915527,-3.234863,98
657464,0.392456,0.921753,0.143677,-4.150391,8.911133,1.403808,98
657562,0.412842,0.897095,0.036865,-2.014160,-7.873535,7.629394,98
657661,0.406616,0.910522,0.054565,-2.014160,3.784179,-6.774902,99
657759,0.385376,0.866089,0.045166,-0.915527,10.314940,-7.446289,98
657857,0.316528,0.796265,-0.066650,-4.943848,-13.793944,7.080078,98
657954,0.265625,0.639648,-0.163940,-35.888672,10.009766,41.992184,97
658052,0.185059,0.574585,-0.011597,-46.386715,23.498533,44.433590,98
658149,0.415527,1.225830,-0.250488,-2.685547,13.427733,12.512206,97
658247,0.494263,1.098877,0.021973,10.314940,-2.563476,32.531738,98
658345,-0.020142,0.945190,-0.138550,4.882812,-27.954100,24.108885,98
658443,0.125854,1.099976,0.025513,-9.216309,5.981445,4.272461,98
658541,0.252808,0.919312,0.005127,-5.798339,-3.601074,11.901855,98
658639,0.157837,0.923706,-0.101440,-4.699707,-14.282226,-6.896972,98
658737,0.068848,1.086060,-0.172607,-8.605957,-1.892090,-21.728514,98
658834,0.205078,1.102783,-0.135132,13.488769,-6.896972,-18.615723,97
658932,0.257202,0.972900,-0.038208,18.066406,-7.263183,-13.854980,98
659029,0.352295,0.990845,-0.032227,16.113281,-17.639160,-13.732909,97
659127,0.271729,0.911865,-0.072998,18.127441,-16.357422,-1.464844,98
659226,0.273682,1.089844,0.039307,16.357422,-4.394531,-14.404296,99
659323,0.247070,0.958252,0.002197,4.211426,-3.662109,4.760742,97
659420,0.265259,1.015137,0.044189,4.150391,1.037598,-11.779784,97
659518,0.350098,1.138184,-0.030029,-1.464844,3.540039,14.160155,98
659617,0.276978,1.111816,0.158081,-14.709472,10.070800,18.676758,99
659714,0.294067,1.031128,0.048462,-29.418943,1.220703,18.249512,97
659812,0.124756,1.103149,-0.178223,-34.545898,12.512206,25.512693,98
659910,0.217407,1.039551,-0.162354,-13.122558,15.686034,14.892577,98
660009,0.136841,0.984497,0.036255,-11.474608,-8.361816,-9.399414,99
660107,0.133545,0.992676,-0.194458,2.929687,-36.254883,-13.427733,98
660206,0.318481,0.984009,-0.077026,20.935057,-24.108885,-30.578611,99
660306,0.217041,0.886841,-0.150513,51.208492,-15.136718,-37.109375,100
660403,0.276611,0.677979,-0.063354,90.270988,5.187988,-59.204098,97
660500,0.207520,0.596680,-0.188477,6.958007,-14.343261,-21.484373,97
660597,0.374512,0.969482,0.061035,0.732422,18.554687,28.747557,97
660694,0.385010,0.910034,0.213745,1.464844,0.366211,-3.234863,97
660791,0.302124,0.894165,0.164795,0.671387,19.714355,-0.610352,97
660888,0.436890,0.878784,0.280029,-8.117676,5.432128,3.662109,97
660986,0.374512,0.898804,0.130615,0.610352,3.845215,-0.183105,98
661084,0.357422,0.893555,0.253052,-7.507324,2.502441,1.770019,98
661182,0.416260,0.895874,0.155396,-5.249023,1.770019,-8.728027,98
661280,0.389160,0.916626,0.151611,2.319336,5.004883,-8.850098,98
661377,0.407104,0.888062,0.112427,-3.784179,-2.014160,-9.460449,97
661475,0.446899,0.857666,0.191895,-2.563476,4.150391,1.464844,98
661572,0.403076,0.807251,0.082397,-7.019042,-3.906250,7.507324,97
661670,0.360474,0.573242,-0.117676,-58.471676,35.461426,49.804684,98
661768,0.155884,0.422485,-0.235718,-51.879879,24.536131,71.411133,98
661867,0.324585,1.042725,0.056030,-7.934570,14.770507,59.204098,99
661965,0.277100,1.024780,0.059082,-7.568359,-7.019042,13.854980,98
662064,-0.014648,1.055420,-0.124756,18.066406,3.845215,2.075195,99
662162,0.009644,1.057983,0.056763,19.897461,-15.319823,-2.868652,98
662259,0.206177,1.147217,0.140747,39.245605,-11.352538,-19.897461,97
662358,0.239868,1.144043,-0.011597,24.169920,12.939452,-14.892577,99
662456,0.166504,1.031738,0.056519,-6.408691,-14.648437,-25.451658,98
662555,0.262695,1.253418,0.070801,30.395506,-0.915527,-13.366698,99
662653,0.163574,0.848999,0.187866,-2.685547,15.502929,10.375976,98
662752,0.254761,1.011597,0.152954,-6.652832,6.652832,-17.456055,99
662850,0.377441,1.027344,0.266357,-20.141600,-2.258301,13.000487,98
662947,0.169434,1.065308,0.010132,-7.446289,-11.413573,23.742674,97
663045,0.218506,1.002930,0.121948,-36.560059,0.732422,4.028320,98
663143,0.223755,0.987793,0.099243,-42.419430,24.108885,10.009766,98
663242,0.157837,1.091675,0.002930,-30.517576,29.052732,-8.483887,99
663341,0.194946,1.016968,-0.215088,-7.934570,-5.859375,-12.084960,99
663438,0.273560,1.013550,-0.142700,-9.338379,-32.470703,-15.258788,97
663536,0.220337,0.953613,-0.238159,26.184080,-29.296873,-26.428221,98
663634,0.352173,0.769287,0.051636,45.837399,-24.353025,-34.545898,98
663732,0.195190,0.863037,-0.083984,62.499996,-6.835937,-39.733887,98
663831,0.168823,0.614624,0.026489,64.208984,0.488281,-17.150879,99
663930,0.450195,0.784180,0.250244,-6.958007,5.615234,16.174316,99
664028,0.384644,0.947266,0.250854,-3.723144,-9.460449,6.225585,98
664127,0.300537,0.887939,0.181885,4.028320,-2.197266,-10.314940,99
664227,0.421387,0.887451,0.207520,-2.563476,-1.403808,-0.671387,100
664326,0.386108,0.905029,0.162354,-8.056641,-4.699707,-7.995605,99
664426,0.425049,0.902344,0.175415,-1.953125,12.451171,-3.540039,100
664525,0.380371,0.886108,0.175293,-3.540039,2.136230,-13.549804,99
664624,0.480469,0.820312,0.103516,-1.708984,21.179197,1.708984,99
664721,0.455078,0.914551,0.106812,-6.835937,-5.737304,0.366211,97
664819,0.365967,0.778931,0.030151,-11.108397,10.253905,11.962890,98
664917,0.218018,0.503296,-0.140015,-73.181152,57.189938,71.105957,98
665015,0.254272,0.567261,-0.001099,-48.278805,29.602049,51.879879,98
665113,0.175049,1.140747,-0.296021,-0.549316,7.812500,-12.207030,98
665212,0.163574,1.093994,0.177124,4.272461,13.000487,11.535644,99
665308,0.230225,1.005737,0.146362,13.732909,-23.803709,15.014647,96
665407,0.252930,1.185059,-0.089478,36.621094,-52.551266,-13.183593,99
665504,0.178467,1.342163,-0.251709,27.832029,-31.311033,-44.311520,97
665602,0.184326,1.226074,-0.008789,6.713867,14.038085,-34.545898,98
665700,0.244507,1.091919,0.105591,-4.516602,-7.568359,-4.089355,98
665798,0.314087,0.972290,0.036133,-4.821777,-12.817382,-7.812500,98
665897,0.341064,1.059326,0.042114,-14.953612,-14.343261,-16.235352,99
665996,0.336914,0.758179,0.034058,-25.695799,-1.403808,-3.601074,99
666094,0.311401,0.731689,0.125732,-6.164550,-4.821777,12.268065,98
666191,0.342163,1.231812,0.007568,13.305663,-6.896972,-5.310058,97
666288,0.250122,0.916504,-0.041260,-6.286621,10.681151,20.568846,97
666386,0.225220,1.091064,-0.071045,-18.310547,6.835937,0.854492,98
666485,0.276489,1.218750,-0.204590,-6.958007,33.081055,38.024902,99
666583,0.311279,0.902100,0.177246,-17.700195,29.479979,44.311520,98
666680,0.161499,0.936401,0.100342,-8.666992,-1.647949,-3.479004,97
666778,0.177124,1.045288,-0.140625,-4.638672,-14.282226,-8.789063,98
666878,0.209839,1.085815,-0.211060,-1.159668,-18.615723,-29.418943,100
666977,0.312012,1.003906,-0.070435,21.118162,-31.616209,-22.766111,99
667076,0.182983,0.892090,-0.148682,44.372555,-25.634764,-30.334471,99
667175,0.290161,0.715332,0.064453,93.139641,7.446289,-52.612301,99
667273,0.095459,0.594116,-0.087769,-2.197266,-24.169920,-30.090330,98
667372,0.377686,0.913330,0.209229,0.671387,10.925292,15.380858,99
667470,0.356445,0.903931,0.183228,-4.333496,-1.464844,3.417969,98
667568,0.385498,0.853394,0.291504,-1.037598,5.737304,-0.366211,98
667665,0.404053,0.895996,0.218872,-8.422852,2.380371,-5.493164,97
667763,0.421387,0.874878,0.215820,-9.216309,15.258788,2.380371,98
667863,0.443726,0.883545,0.218140,-8.728027,-0.061035,-9.521484,100
667962,0.414795,0.882080,0.142456,3.417969,1.342773,-20.507811,99
668061,0.388916,0.870850,0.110229,-5.126953,15.686034,-10.620116,99
668159,0.480713,0.855469,0.160645,-8.422852,17.822266,9.216309,98
668257,0.364258,0.767578,0.023437,-13.427733,11.108397,1.342773,98
668356,0.162476,0.435547,-0.136230,-70.678711,71.472168,80.261230,99
668454,0.194336,0.598022,0.056274,-53.466793,27.099607,40.710445,98
668551,0.247192,1.065308,-0.211548,1.281738,0.366211,3.479004,97
668649,0.282837,1.103149,0.080688,38.574219,-3.784179,-9.460449,98
668747,0.341431,1.112915,0.273071,39.733887,-36.560059,-15.136718,98
668847,0.485840,1.314453,-0.058350,40.100098,-31.066893,-5.371093,100
668945,0.286987,1.408813,-0.050415,9.338379,-1.098633,-26.062010,98
669043,0.230713,0.917847,0.008911,-19.836426,1.098633,2.258301,98
669142,0.250610,0.908325,0.172852,-6.958007,17.517090,-20.141600,99
669241,0.327393,1.061768,0.060791,-8.605957,-2.258301,-2.319336,99
669340,0.366455,0.916016,-0.010620,-3.967285,-9.094238,28.442381,99
669438,0.199219,1.183105,0.085205,-10.803222,8.056641,7.019042,98
669537,0.260986,1.101563,-0.005615,-17.089844,23.193357,25.817869,99
669636,0.257446,0.971313,0.021973,-33.996582,7.873535,3.723144,99
669733,0.133545,0.940430,-0.041748,-26.428221,2.014160,2.685547,97
669830,0.130981,1.045044,-0.221069,-4.638672,21.240232,-0.427246,97
669929,0.273560,0.995361,-0.132446,-3.051758,-2.868652,-13.183593,99
670027,0.307251,0.959961,-0.138916,3.295898,-32.104492,-21.179197,98
670126,0.261719,0.924072,-0.120117,16.113281,-20.751951,-20.629881,99
670224,0.269043,0.956055,-0.028687,36.132812,-22.155760,-29.541014,98
670321,0.367188,0.796021,-0.030396,46.691891,-45.166012,-57.067867,97
670419,0.163818,0.667603,0.004639,39.184570,1.892090,-42.663570,98
670516,0.402222,0.920776,0.011963,-0.305176,25.939939,3.051758,97
670614,0.479980,0.899536,0.047363,-17.700195,17.517090,-15.075683,98
670711,0.499390,0.850830,0.030273,-4.577637,14.465331,-10.864257,97
670809,0.514404,0.898926,0.045410,-4.455566,-2.685547,-6.835937,98
670907,0.523315,0.839966,0.015137,-0.244141,-0.244141,2.441406,98
671005,0.504883,0.853394,0.103760,-5.737304,7.873535,12.451171,98
671103,0.475342,0.886963,0.084595,6.408691,-0.610352,-3.234863,98
671202,0.507324,0.859009,0.091064,7.934570,-4.455566,3.967285,99
671299,0.465454,0.776855,0.094604,6.164550,2.502441,10.498046,97
671397,0.378662,0.745728,-0.002197,-15.563964,16.723633,16.540527,98
671496,0.145630,0.558350,-0.224731,-40.344234,52.429195,77.636719,99
671595,0.404785,0.867920,-0.127441,-46.081539,31.860350,9.887695,99
671694,0.181030,0.560913,0.089355,-30.334471,4.760742,65.246582,99
671792,0.123657,1.093018,-0.230469,17.700195,5.187988,34.057617,98
671889,0.165283,1.035645,-0.019043,42.541500,1.647949,-0.305176,97
671987,0.290405,1.068726,0.106079,19.470215,-44.250484,-10.559081,98
672086,0.243286,1.228027,-0.157837,45.593258,-30.029295,-12.329101,99
672185,0.196655,1.260376,-0.093872,9.033203,0.671387,-23.559568,99
672283,0.187866,0.984375,0.196167,7.080078,3.784179,-3.906250,98
672380,0.229736,0.894653,0.141846,20.507811,-13.061522,5.371093,97
672479,0.241577,1.071655,0.135376,2.136230,2.502441,0.671387,99
672577,0.175049,0.860962,0.080811,-14.282226,14.709472,-11.352538,98
672676,0.303101,1.253662,0.003540,6.408691,-5.065917,-6.835937,99
672775,0.313232,1.037842,0.073364,-8.361816,4.272461,27.526854,99
672873,0.198608,1.045410,0.220337,-11.535644,14.587401,16.357422,98
672972,0.212524,1.015381,0.087524,-20.446775,1.403808,18.005371,99
673069,0.159790,0.989624,-0.019653,-21.301268,-4.211426,8.178711,97
673168,0.112427,0.977905,-0.017822,-16.601562,11.962890,-4.272461,99
673267,0.186523,1.075073,-0.019653,-4.699707,1.464844,-8.239746,99
673365,0.147217,1.001587,-0.018555,-6.042480,-15.563964,-10.375976,98
673463,0.250366,1.029419,0.005859,8.422852,-19.897461,-26.855467,98
673562,0.208862,0.955078,0.107300,30.151365,-21.789549,-37.414551,99
673660,0.175293,0.674805,0.066162,41.870113,-23.254393,-39.245605,98
673758,0.273315,0.624512,0.058350,41.809078,25.573729,-38.330078,98
673856,0.391113,0.701904,0.093384,-24.291990,-2.807617,2.990722,98
673953,0.416992,1.060181,0.067261,-7.873535,7.873535,-11.474608,97
674051,0.365723,0.879761,0.104980,-6.347656,3.967285,-21.118162,98
674149,0.532349,0.833374,0.094238,-2.380371,-5.981445,-10.192870,98
674247,0.498779,0.823608,0.073853,-7.751464,-2.502441,-6.835937,98
674345,0.510132,0.844971,0.008179,7.385253,11.413573,-10.314940,98
674442,0.473389,0.942139,0.092529,0.488281,-1.708984,-4.455566,97
674539,0.467529,0.853271,0.033569,6.225585,-10.986327,-2.868652,97
674637,0.405762,0.815308,0.025879,-3.967285,7.202148,12.756347,98
674735,0.254028,0.595459,-0.047974,-43.273922,27.770994,33.569336,98
674833,0.387695,0.473511,-0.078491,-56.396481,28.442381,71.777344,98
674931,-0.008789,1.459839,-0.115967,-14.709472,10.253905,12.390136,98
675030,0.325317,0.949707,-0.018921,-13.549804,31.982420,41.931149,99
675127,0.094971,0.876221,-0.137451,4.760742,-9.704590,14.831542,97
675225,-0.099731,1.132935,-0.188354,39.428711,-9.643555,7.141113,98
675323,0.192993,1.104004,0.010010,32.775879,-12.084960,-5.493164,98
675421,0.223267,0.980835,-0.064453,11.047362,-4.882812,-18.371582,98
675519,0.159546,1.016846,-0.025024,1.708984,-27.832029,-22.949217,98
675617,0.163208,1.139160,-0.149414,21.423338,-26.489256,-3.479004,98
675716,0.182739,0.976685,-0.040161,23.559568,-8.666992,-1.098633,99
675815,0.206787,1.066650,0.120728,19.775391,4.943848,-10.375976,99
675913,0.216187,0.871338,0.113281,-4.760742,7.080078,-3.540039,98
676010,0.285767,0.981201,0.121216,7.324218,14.892577,-20.751951,97
676107,0.250366,1.105103,0.075195,2.563476,-14.892577,12.268065,97
676205,0.186157,1.193726,0.132202,-18.859863,-10.375976,17.761230,98
676302,0.256226,1.126343,0.039795,-25.207518,17.578125,17.028809,97
676399,0.249268,0.920898,0.128662,-40.893551,38.024902,-6.591796,97
676497,0.204468,0.980957,-0.072754,-10.009766,-3.723144,-4.150391,98
676595,0.168457,0.971313,-0.156494,-7.080078,9.460449,8.300781,98
676692,0.182129,1.017700,-0.064819,6.835937,16.662598,13.061522,97
676789,0.246094,1.016724,-0.041992,9.094238,-1.464844,-3.723144,97
676888,0.131104,0.905762,0.057495,-0.610352,-18.615723,-23.071287,99
676986,0.172607,1.019409,0.034424,4.211426,-30.090330,-23.620604,98
677084,0.345581,1.010864,0.020630,31.311033,-26.000975,-42.480465,98
677183,0.331787,0.633789,0.106201,76.843262,28.991697,-70.800781,99
677282,0.144409,0.607666,-0.319336,6.652832,-39.062500,-49.865719,99
677381,0.679687,0.884766,0.279419,-20.507811,59.020992,24.475096,99
677479,0.507324,0.896484,0.249390,-23.620604,4.028320,-9.033203,98
677576,0.542358,0.797974,0.043823,1.403808,-4.516602,-6.591796,97
677674,0.545898,0.876221,0.052124,5.798339,30.517576,1.892090,98
677773,0.550415,0.844604,0.014404,-5.249023,3.112793,-16.174316,99
677871,0.485718,0.868530,-0.023926,0.244141,3.356933,-2.563476,98
677968,0.493164,0.860596,-0.010498,-0.366211,-4.882812,-3.723144,97
678066,0.456055,0.802734,-0.057251,-0.122070,2.441406,7.019042,98
678163,0.230103,0.519165,-0.147705,-27.282713,41.687008,53.466793,97
678260,0.281372,0.527588,-0.318115,-48.645016,32.775879,58.593746,97
678358,0.184204,1.123535,-0.142578,-19.592285,16.479492,26.123045,98
678456,0.391357,0.995972,0.024658,10.131835,9.582520,37.902832,98
678553,0.145020,0.954834,0.053467,33.752441,-21.484373,25.207518,97
678651,0.171631,1.291626,-0.166626,28.747557,-32.897949,-14.831542,98
678750,0.139893,1.337891,-0.109009,10.681151,-22.399900,-38.879395,99
678848,0.286865,1.097412,0.142090,24.169920,-12.878417,-3.112793,98
678945,0.273193,1.051880,0.093018,8.300781,3.112793,-6.103515,97
679042,0.251343,0.962158,0.070801,-2.197266,1.831055,0.244141,97
679140,0.288574,0.932129,0.031982,-1.647949,4.821777,-5.432128,98
679238,0.252563,1.152466,-0.044800,12.390136,11.413573,2.624511,98
679335,0.310181,1.225708,0.040405,-9.643555,-12.084960,21.362303,97
679433,0.237305,1.038696,0.248657,-27.893064,9.521484,23.132322,98
679531,0.163208,0.941895,-0.011963,-32.104492,7.141113,8.117676,98
679629,0.179443,1.040527,-0.165405,-20.324705,5.981445,0.244141,98
679726,0.213745,1.046021,-0.251953,-4.272461,8.239746,3.173828,97
679823,0.231689,0.954468,-0.101929,2.441406,-10.681151,-14.038085,97
679922,0.337280,0.911377,-0.055786,8.422852,-23.437498,-30.273436,99
680019,0.263916,0.947144,-0.023437,17.883301,-0.732422,-40.344234,97
680118,0.331421,0.909302,0.043335,46.752926,-26.428221,-52.978512,99
680215,0.242187,0.615356,0.139893,52.490231,-68.115234,-57.495113,97
680313,0.265747,0.651489,-0.176025,0.793457,-9.399414,-12.023925,98
680410,0.606934,0.841187,0.158325,-5.981445,46.936031,6.713867,97
680507,0.588135,0.831543,0.064575,-13.854980,-19.409180,-20.935057,97
680604,0.528320,0.781128,0.005981,4.028320,10.742187,21.423338,97
680701,0.523560,0.913574,0.131348,0.549316,16.357422,7.446289,97
680799,0.530640,0.811890,0.071289,1.220703,-4.272461,-7.141113,98
680897,0.515259,0.853394,0.119629,-3.234863,2.685547,2.807617,98
680995,0.500732,0.815308,0.018799,2.136230,2.746582,-0.244141,98
681094,0.399658,0.702148,-0.040161,-11.352538,8.850098,21.606443,99
681193,0.275024,0.527466,-0.246216,-67.443848,69.152832,79.589844,99
681293,0.511475,0.573853,0.188232,-51.635738,30.944822,65.551758,100
681391,0.160034,1.026489,-0.251831,7.263183,-21.057127,43.029781,98
681490,0.085327,1.074219,-0.093506,37.963867,-14.221190,18.493652,99
681589,0.374268,0.968140,0.219727,33.691406,-4.211426,-5.004883,99
681687,0.306274,1.036377,0.237183,16.967773,-21.667479,-4.699707,98
681785,0.353638,1.110718,-0.058472,24.047850,-12.329101,-27.954100,98
681883,0.328979,1.086548,-0.010620,8.422852,-9.033203,-7.263183,98
681982,0.149170,1.088867,0.095825,9.277344,-6.408691,8.605957,99
682081,0.244019,0.907471,-0.000977,15.197753,-18.493652,28.076170,99
682179,0.246216,0.996094,0.141724,3.295898,12.573241,-9.033203,98
682277,0.296753,1.076172,0.107910,-25.512693,1.647949,-4.577637,98
682375,0.119385,1.081177,0.066650,-27.587889,-7.385253,27.343748,98
682473,0.264404,1.029053,0.079712,-17.211914,42.480465,12.634276,98
682571,0.228516,0.947754,0.050293,-24.780272,23.742674,1.831055,98
682669,0.167114,1.006104,-0.154175,-21.484373,10.986327,6.286621,98
682768,0.188599,1.019409,-0.121338,-10.559081,21.850584,0.061035,99
682867,0.137573,1.017700,-0.129272,-2.990722,-19.714355,-14.160155,99
682966,0.251831,1.010254,-0.018433,9.826660,-17.272949,-18.188477,99
683064,0.193359,0.933716,0.043945,16.113281,-14.343261,-35.339355,98
683163,0.287231,0.972778,-0.000488,58.776852,24.841307,-57.556149,99
683261,0.220215,0.582153,0.045410,57.739254,23.376463,-55.175777,98
683358,0.270264,0.629272,-0.129883,-10.314940,3.784179,-11.718749,97
683455,0.485229,0.971191,0.184692,-20.141600,18.371582,-5.920410,97
683553,0.502197,0.792236,-0.030884,-14.770507,-10.375976,-14.648437,98
683650,0.474121,0.887817,0.026123,2.014160,12.817382,12.756347,97
683748,0.511475,0.935669,0.079590,-1.647949,-3.356933,1.953125,98
683845,0.465332,0.851929,0.041992,5.676269,-9.094238,1.831055,97
