Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.206787,-0.993042,0.139038,9.765625,-36.499023,4.211426
-0.094727,-0.914551,-0.053223,19.104004,-6.469726,-2.319336
-0.000244,-0.987305,-0.087036,21.850584,-44.433590,-12.023925
-0.219849,-1.002197,-0.211304,20.507811,6.896972,-5.004883
-0.120361,-0.906250,-0.116943,16.113281,31.005857,8.789063
-0.176880,-0.997681,-0.315186,14.648437,-14.709472,-4.333496
-0.232422,-1.017944,-0.333374,10.070800,-26.062010,-13.244628
-0.172974,-1.228516,-0.394775,3.356933,10.131835,10.009766
-0.161011,-1.116821,-0.271484,-5.920410,6.591796,13.610839
-0.243164,-1.087036,-0.414429,8.728027,5.981445,5.981445
-0.109497,-1.000244,-0.207031,-2.624511,13.305663,2.563476
-0.161987,-1.062134,-0.347412,-10.131835,7.934570,7.080078
-0.085693,-0.979126,-0.181396,-15.563964,7.141113,5.554199
-0.082153,-0.841431,-0.101074,-11.840819,1.342773,5.798339
-0.085815,-0.867065,-0.238159,-17.395020,-0.488281,-0.122070
-0.096069,-0.789429,-0.190918,-23.498533,-6.652832,-2.136230
-0.110352,-0.644775,-0.030640,-17.639160,-1.098633,0.915527
-0.128174,-0.774780,-0.125977,17.761230,-7.202148,-1.770019
-0.218750,-1.084961,-0.117798,7.141113,2.441406,-0.061035
-0.149048,-0.965332,-0.048462,-13.977050,6.774902,-4.089355
-0.172241,-0.953857,-0.028809,-3.784179,2.929687,-6.652832
-0.181763,-0.892944,-0.150513,-1.770019,-0.305176,-6.774902
-0.172119,-0.908569,-0.099365,0.488281,1.831055,-2.868652
-0.143433,-0.961304,-0.070312,5.310058,-1.342773,3.295898
-0.149658,-0.963501,-0.132568,10.314940,-2.258301,9.094238
-0.125488,-0.868774,-0.037964,11.413573,-1.708984,4.455566
-0.067627,-1.000854,-0.218140,13.916015,-0.305176,0.305176
-0.105103,-0.886963,-0.228149,2.258301,-1.770019,-3.234863
-0.133179,-0.635132,-0.048584,5.981445,3.234863,-4.577637
-0.177734,-0.608154,-0.086792,11.291503,9.277344,-3.723144
-0.049683,-0.911255,-0.314453,24.719236,2.685547,-6.469726
-0.096558,-1.128174,-0.511353,11.535644,5.859375,-9.094238
-0.270630,-0.982910,-0.509155,-11.657714,-3.845215,-10.864257
-0.217407,-1.006592,-0.230591,9.582520,9.765625,6.225585
-0.178345,-1.058960,-0.308228,30.334471,-15.563964,16.723633
-0.042603,-0.990112,-0.508057,13.244628,30.212400,24.353025
-0.676147,-0.837280,-0.052002,-2.624511,56.762691,19.409180
0.985229,-1.093506,-0.982422,-46.813961,-26.184080,5.126953
-0.862061,-1.137817,-0.003052,5.126953,-32.958984,-7.507324
-0.294800,-1.187866,-0.395630,1.708984,-16.113281,-6.591796
-0.189087,-0.962402,-0.367554,-24.902342,-34.301758,8.117676
-0.423218,-0.997314,-0.487793,-16.418457,42.114254,-6.347656
0.106445,-1.137695,0.181396,2.990722,63.354488,7.568359
-0.269775,-0.651855,-0.439209,50.048824,-65.124512,-27.526854
0.054443,-1.009644,-0.279297,18.066406,-39.367676,4.394531
0.034424,-0.960571,-0.143799,9.155273,-11.169433,-0.854492
-0.140381,-1.104126,-0.312378,7.995605,-19.042969,-1.525879
-0.126953,-0.887207,-0.346313,9.704590,-22.155760,1.281738
0.207153,-1.064453,-0.395386,-20.568846,31.494139,47.363277
-0.239136,-0.961182,-0.087524,17.944336,67.260742,5.859375
-0.399658,-0.867798,-0.309326,18.371582,32.043457,-7.141113
-0.126709,-1.024170,-0.305542,-10.620116,34.423828,4.760742
-0.122314,-0.921875,-0.254517,-4.943848,34.423828,2.685547
-0.043701,-0.988892,-0.304565,9.643555,-41.870113,-14.282226
-0.159424,-0.746582,-0.013306,37.231445,-22.033689,-18.920898
-0.122192,-1.051758,-0.500610,3.784179,10.437011,6.286621
-0.097290,-1.089966,-0.156494,-3.295898,0.183105,8.483887
-0.110596,-0.947632,-0.460937,-4.760742,8.972168,11.413573
-0.178467,-1.075928,-0.465576,-2.868652,-7.751464,15.624999
-0.048340,-0.885620,-0.164185,2.258301,-12.268065,9.155273
-0.136108,-0.866333,-0.305298,-2.014160,-17.517090,6.713867
-0.054199,-0.959106,-0.283325,-16.784668,-4.760742,0.244141
-0.088989,-0.621460,0.018066,-44.006344,-2.685547,-12.817382
-0.083740,-0.551270,-0.133667,-50.720211,-5.432128,-8.728027
-0.099976,-0.703369,-0.200439,-29.785154,1.953125,-8.789063
-0.155273,-0.981934,-0.154541,9.704590,-14.038085,-13.183593
-0.185913,-0.942627,-0.062378,9.582520,-15.380858,-8.361816
-0.121948,-1.005981,-0.145386,-4.882812,1.770019,-1.159668
-0.121338,-1.039917,-0.137451,-10.986327,0.122070,1.770019
-0.138306,-0.940918,-0.000122,-4.699707,1.953125,0.976562
-0.159546,-0.904297,-0.006714,12.390136,0.305176,7.873535
-0.128418,-0.911255,-0.121582,19.226074,-3.051758,1.708984
-0.153320,-0.948608,-0.175659,15.747069,-9.155273,-7.446289
-0.076782,-0.901245,-0.122681,14.770507,-1.831055,3.051758
-0.075806,-0.745605,-0.138550,-6.896972,1.586914,1.953125
-0.190430,-0.655884,-0.094849,6.347656,-0.793457,-8.544922
-0.118408,-0.808838,-0.093506,23.742674,15.197753,1.892090
