Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.103516,0.657349,0.738892,-1.770019,-1.403808,-0.915527
0.121338,0.678223,0.759888,-7.629394,4.211426,0.305176
0.117920,0.642090,0.731812,-4.760742,1.342773,-0.854492
0.126953,0.676147,0.738525,-2.685547,-6.408691,-5.249023
0.111816,0.658203,0.671509,3.173828,-12.207030,-4.943848
0.074951,0.566040,0.533691,2.075195,-6.774902,-0.610352
0.046387,0.434570,0.448608,5.554199,12.390136,8.239746
0.067627,0.421143,0.531250,16.662598,3.173828,9.765625
0.042725,0.680176,0.694946,8.666992,2.258301,3.906250
0.070068,0.598022,0.778809,1.586914,1.586914,2.624511
0.070801,0.601562,0.792969,-12.329101,10.498046,1.098633
0.067505,0.664185,0.756958,-19.226074,17.700195,4.699707
0.116455,0.698120,0.949097,-13.671874,11.291503,5.737304
0.162598,0.762695,0.927246,-14.465331,3.967285,5.065917
0.251465,0.848511,1.149902,-4.638672,-0.732422,3.417969
0.207886,0.980957,1.011963,-10.864257,2.502441,-9.887695
0.190430,0.991699,0.764893,2.624511,-9.643555,-3.295898
0.144653,0.736206,0.596924,-13.854980,9.582520,3.967285
0.035522,0.717651,0.682983,-1.403808,13.183593,9.643555
0.183838,0.636230,0.763306,-3.906250,4.455566,-2.868652
0.170898,0.710937,0.693970,-5.493164,-1.831055,-1.892090
0.160522,0.780151,0.630615,-0.122070,6.164550,-3.845215
0.097046,0.789429,0.754517,2.990722,6.958007,5.065917
0.228882,0.786255,0.846191,2.136230,13.549804,0.854492
0.182251,0.695068,0.690796,-9.094238,3.967285,-6.896972
0.139648,0.656616,0.526978,-11.535644,6.103515,-8.666992
0.036255,0.451050,0.308105,-13.793944,-9.460449,6.225585
0.073120,0.426147,0.380615,4.455566,-15.075683,3.356933
0.079712,0.769531,0.563721,28.808592,-27.832029,-15.624999
0.106323,0.731201,0.586304,-2.075195,-11.230468,-5.554199
0.155273,0.662598,0.686035,1.220703,0.671387,-2.197266
0.165527,0.726318,0.721191,-7.446289,13.854980,0.000000
0.180542,0.716919,0.718750,-2.624511,10.803222,-1.037598
0.191528,0.705566,0.689697,5.493164,-7.324218,1.831055
0.149536,0.700073,0.639038,0.427246,-8.361816,-1.403808
0.118774,0.715576,0.626099,2.380371,-5.310058,-2.990722
0.080078,0.635498,0.544434,-2.380371,2.746582,1.098633
0.060425,0.449707,0.398804,-6.591796,8.361816,4.943848
0.105591,0.518921,0.484375,-0.549316,20.446775,-0.976562
0.172119,0.567871,0.492187,18.615723,9.094238,-6.103515
0.168091,0.667358,0.550415,-2.014160,-16.479492,-2.685547
0.157959,0.658691,0.922363,5.615234,1.892090,9.460449
0.193848,0.658569,0.906128,5.737304,-1.037598,4.333496
0.209106,0.747314,0.737427,-7.324218,-6.103515,-1.708984
0.129028,0.751587,0.650513,-7.141113,-13.732909,4.333496
0.163086,0.832031,0.939087,-10.620116,8.666992,5.798339
0.175537,0.942383,1.037354,4.028320,6.835937,0.244141
0.154175,0.985352,1.006958,-0.427246,-6.591796,-1.831055
0.133057,0.802612,0.708374,-7.690429,13.183593,4.211426
0.141724,0.695557,0.692627,-13.549804,31.921385,8.422852
0.189209,0.695679,0.909912,4.638672,-1.098633,1.342773
0.084595,0.648193,0.709351,-3.662109,-3.662109,-3.112793
0.071777,0.726807,0.677246,1.586914,-4.821777,-4.028320
0.136963,0.702759,0.845337,-7.202148,-2.990722,1.403808
0.189575,0.744141,0.886475,-11.047362,-5.187988,-4.516602
0.140137,0.691528,0.658813,-2.746582,-10.986327,-9.155273
0.140381,0.664795,0.601196,-4.943848,-4.760742,-6.835937
0.121338,0.511719,0.459106,-7.812500,-1.281738,-1.647949
0.061768,0.544312,0.436890,6.286621,-6.896972,-0.305176
0.094604,0.673828,0.582886,29.724119,-10.559081,-2.563476
0.081543,0.702026,0.605713,-5.859375,4.028320,-2.075195
0.123901,0.695068,0.695679,5.432128,3.784179,0.305176
0.176270,0.707153,0.735107,-1.892090,9.460449,-1.220703
0.131592,0.728394,0.687500,-3.173828,3.967285,-1.281738
0.151489,0.720825,0.657471,-4.516602,-5.432128,-2.563476
0.165894,0.728027,0.666870,-0.854492,0.061035,-0.732422
0.137451,0.655884,0.607300,7.202148,-3.234863,1.647949
0.093018,0.541260,0.525269,2.197266,1.220703,4.821777
0.047852,0.416260,0.436035,1.098633,2.563476,4.760742
0.075317,0.566772,0.621216,17.700195,3.479004,2.075195
0.171509,0.610840,0.589355,7.080078,9.887695,7.812500
0.119141,0.643188,0.701538,-1.464844,0.305176,4.333496
0.100464,0.679443,0.690430,5.432128,0.488281,1.220703
0.067749,0.703491,0.770020,-3.906250,2.319336,7.812500
0.066162,0.684082,0.875488,2.502441,-2.319336,8.789063
0.176880,0.681641,0.924438,-3.601074,12.451171,-3.112793
0.171387,0.741699,0.857300,-1.708984,1.342773,-3.234863
0.204712,0.804321,0.760498,-6.958007,2.136230,0.549316
0.146851,0.956299,1.052246,-3.784179,12.023925,-1.281738
0.136963,0.831909,0.984131,-0.427246,4.821777,-0.427246
0.159424,0.682129,0.741455,-16.784668,12.878417,-0.122070
0.201782,0.628418,0.616821,-6.347656,1.770019,2.502441
0.154297,0.655884,0.668091,-19.042969,7.080078,0.366211
0.177246,0.728149,0.852905,-4.211426,10.620116,3.295898
0.218506,0.725586,0.842651,-3.112793,6.652832,-6.896972
0.148437,0.760986,0.677856,-5.432128,-13.916015,-6.103515
0.137817,0.734619,0.695190,-3.234863,-10.803222,-5.126953
0.100952,0.714722,0.655396,-12.084960,9.826660,3.601074
0.142212,0.672607,0.610840,-12.939452,4.760742,0.305176
0.135742,0.584473,0.495361,-11.413573,-2.197266,-0.122070
0.081055,0.524414,0.433716,-9.887695,-5.798339,1.159668
0.155884,0.723145,0.553101,17.211914,-10.192870,-4.943848
0.140625,0.701904,0.585693,9.826660,-11.840819,-4.089355
0.131592,0.706055,0.644043,2.929687,-0.671387,-1.220703
0.170044,0.728882,0.672119,2.807617,0.305176,-2.990722
0.162842,0.730835,0.689453,-10.742187,6.958007,-0.610352
0.171143,0.710571,0.657349,-8.728027,-0.549316,-4.150391
0.189941,0.740112,0.670654,-1.281738,-8.972168,-6.103515
0.177124,0.742920,0.647339,8.483887,-7.263183,-1.403808
0.151001,0.713257,0.627930,-0.976562,-4.394531,3.906250
0.129395,0.694580,0.611938,-1.892090,1.892090,1.525879
0.126587,0.640625,0.601074,10.253905,7.141113,4.882812
0.095825,0.539307,0.464233,0.915527,8.361816,3.356933
0.110107,0.455200,0.418335,2.014160,9.338379,4.699707
0.141968,0.635376,0.581177,10.070800,8.483887,-1.159668
0.206665,0.700684,0.761963,21.484373,6.469726,9.460449
0.155518,0.654175,0.792969,9.521484,5.004883,15.136718
0.261719,0.608032,0.917114,-1.586914,-8.117676,-4.882812
0.105347,0.712646,0.718018,-5.493164,-13.122558,-0.427246
0.139038,0.730591,0.717407,-5.981445,-15.258788,2.929687
0.154541,0.834229,0.724121,-9.521484,3.723144,-0.610352
0.171143,0.844238,0.834839,9.460449,4.272461,6.652832
0.251099,1.006958,1.015137,-16.845703,25.817869,2.990722
0.118286,0.800171,0.775146,-12.817382,3.967285,-1.831055
0.167969,0.718872,0.701294,5.981445,3.723144,-3.112793
0.191772,0.607910,0.614990,0.427246,-2.258301,4.272461
0.175293,0.726074,0.587158,-6.164550,1.953125,-3.479004
0.134155,0.718628,0.766113,7.568359,-2.380371,7.263183
0.209717,0.673340,0.782227,-6.103515,0.854492,1.220703
0.203003,0.760132,0.839111,-2.380371,1.281738,-8.605957
0.122192,0.765503,0.665894,-8.361816,-1.586914,-7.446289
0.220215,0.790161,0.686523,-8.361816,5.676269,-2.136230
0.213623,0.717285,0.660034,-4.150391,6.042480,0.793457
0.160278,0.643677,0.590454,-7.385253,1.342773,-0.244141
0.092163,0.536011,0.475586,-13.122558,-7.202148,-2.502441
0.112671,0.556763,0.493286,7.202148,-12.390136,-5.798339
0.109863,0.700684,0.575439,22.399900,-24.108885,-11.596679
0.097168,0.706299,0.610718,12.390136,-23.193357,-9.094238
0.156860,0.683105,0.662354,-3.234863,-1.586914,-0.976562
0.196533,0.699341,0.668335,3.234863,1.708984,-1.159668
0.139648,0.682495,0.666626,-4.211426,3.967285,2.807617
0.187134,0.745239,0.716553,-8.850098,4.150391,-2.746582
0.192993,0.711914,0.703003,1.281738,-9.948730,-2.014160
0.145386,0.705444,0.646118,1.708984,-7.080078,-3.173828
0.154297,0.700073,0.640503,-5.615234,1.708984,-0.549316
0.139160,0.634277,0.602661,6.835937,-0.488281,-0.976562
0.130127,0.578125,0.494507,7.690429,-3.479004,2.075195
0.056396,0.437744,0.409180,8.178711,4.943848,10.009766
0.072998,0.563110,0.551636,5.920410,5.187988,-2.441406
0.149414,0.698486,0.790161,2.624511,15.197753,3.967285
0.179810,0.703613,0.876343,16.662598,13.000487,7.568359
0.210815,0.631958,0.856445,7.019042,5.859375,1.525879
0.212158,0.662964,0.899414,16.113281,-9.887695,12.084960
0.157715,0.676392,0.970337,6.652832,-5.187988,9.826660
0.135254,0.781738,1.005493,-3.234863,-15.380858,2.014160
0.122437,0.843384,0.934326,-14.221190,2.929687,-3.662109
0.178467,0.949829,0.973877,-1.464844,4.211426,1.281738
0.220093,0.706299,0.896118,-16.845703,13.183593,11.962890
0.172485,0.641357,0.676514,-17.639160,-14.770507,-4.028320
0.058228,0.657593,0.600830,-17.639160,11.047362,7.202148
0.166138,0.693848,0.717285,-2.014160,18.005371,14.953612
0.187988,0.687256,0.799316,4.089355,-5.798339,0.122070
0.133301,0.740723,0.727051,-2.929687,-0.366211,-3.540039
0.093140,0.728882,0.723022,8.544922,-2.014160,2.319336
0.136841,0.733154,0.796753,-9.094238,5.187988,0.000000
0.118896,0.746948,0.752930,-3.417969,-0.976562,-3.295898
0.125122,0.662109,0.651367,-9.277344,-1.281738,-7.324218
0.111328,0.605835,0.602051,-19.042969,4.882812,-7.751464
0.100098,0.501709,0.491699,-7.385253,-10.253905,-5.737304
0.049316,0.536011,0.518066,11.169433,-2.807617,-1.525879
0.118652,0.734497,0.592529,8.178711,-8.850098,-13.183593
0.140503,0.830688,0.654297,-10.742187,10.131835,0.000000
0.219116,0.695190,0.678467,-9.643555,0.488281,-4.272461
0.209717,0.752075,0.621826,-9.826660,0.244141,-3.784179
0.171631,0.766968,0.628174,-15.136718,16.296387,5.310058
0.129761,0.808838,0.614502,2.868652,20.019531,3.784179
0.069458,0.794312,0.480957,-0.915527,5.126953,2.380371
0.121704,0.856689,0.534180,7.507324,-10.864257,-5.920410
-0.026367,0.819092,0.467407,-31.372068,3.295898,1.525879
0.196533,0.961060,0.750366,-18.920898,5.615234,-10.070800
0.218628,0.706665,0.570801,10.925292,-12.756347,-0.061035
0.168701,0.741821,0.573608,1.281738,-3.112793,6.469726
