Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.187134,0.833862,0.486206,0.183105,8.911133,0.000000
0.173950,0.846680,0.509277,1.464844,2.258301,0.427246
0.180542,0.832764,0.491943,-0.427246,3.784179,-0.915527
0.187256,0.844360,0.516235,1.098633,2.075195,0.000000
0.192017,0.841919,0.510498,2.929687,-1.403808,2.563476
0.181396,0.826782,0.491699,3.173828,-5.065917,1.831055
0.186523,0.824829,0.486572,-8.117676,1.159668,-1.586914
0.205200,0.834595,0.514282,-3.845215,-0.549316,0.610352
0.188354,0.860718,0.521240,0.854492,-2.014160,2.990722
0.163574,0.817261,0.506592,5.065917,-5.493164,6.225585
0.143921,0.824829,0.481445,-10.925292,1.831055,0.061035
0.159790,0.839478,0.480347,-9.826660,1.708984,-3.356933
0.168945,0.871948,0.482300,-4.943848,3.356933,-1.098633
0.187500,0.846313,0.473633,5.065917,-5.249023,0.305176
0.186279,0.850952,0.452393,-2.807617,-1.342773,-1.281738
0.174316,0.859253,0.468994,1.220703,-1.892090,-0.305176
0.161743,0.842896,0.468628,2.380371,-1.281738,-0.244141
0.167358,0.837524,0.463745,-1.220703,3.356933,-1.525879
0.188354,0.857422,0.463745,-3.173828,2.624511,-3.479004
0.185791,0.794800,0.396729,0.427246,-2.929687,-1.159668
0.109253,0.566895,0.291138,13.488769,4.455566,7.812500
0.085083,0.500732,0.381836,20.324705,4.211426,14.526366
0.109619,0.743774,0.451904,2.685547,8.361816,-5.493164
0.120483,0.871704,0.617554,11.352538,-1.281738,-3.417969
0.150513,0.823364,0.506958,-0.549316,-8.972168,-6.408691
0.183594,0.830200,0.525391,-12.390136,4.211426,1.770019
0.168213,0.854980,0.666992,18.676758,-2.258301,7.263183
0.122925,0.883545,0.616699,-8.422852,9.704590,3.356933
0.154053,1.019531,0.678223,-9.826660,10.620116,6.774902
0.173828,1.143311,0.774414,-0.366211,2.990722,6.591796
0.200928,1.187378,0.772949,-4.699707,4.760742,-3.051758
0.219482,0.970703,0.634155,-11.962890,-2.441406,-4.150391
0.180542,0.911377,0.594849,-16.906738,-1.647949,-2.624511
0.111328,0.879150,0.504028,7.812500,-7.019042,2.929687
0.145630,0.881348,0.551025,6.042480,-12.023925,-13.122558
0.154907,0.866333,0.546753,18.005371,-12.939452,-6.530761
0.100952,0.799072,0.552979,-3.234863,0.122070,-5.004883
0.084717,0.808105,0.562744,1.525879,-5.798339,-16.723633
0.091919,0.739746,0.443115,-8.911133,-19.042969,-22.338865
0.090210,0.671021,0.441284,-8.300781,-11.108397,-15.197753
0.107910,0.582764,0.376831,-0.061035,-15.930175,-6.042480
0.133789,0.690552,0.426025,13.061522,-15.563964,-5.249023
0.147217,0.736206,0.469116,14.099120,-1.708984,2.929687
0.183716,0.831909,0.603394,2.685547,7.507324,-2.014160
0.208130,0.822754,0.587280,0.366211,2.380371,-0.671387
0.098389,0.731934,0.494141,10.131835,9.155273,10.681151
0.016968,0.786987,0.605225,2.868652,18.798828,19.592285
0.082764,0.936401,0.614746,-3.479004,10.742187,7.995605
0.242676,0.687378,0.596313,9.216309,-10.314940,0.366211
0.259033,0.605103,0.509766,-1.525879,-20.202635,-9.460449
0.188721,0.950073,0.596069,-19.470215,13.305663,-16.418457
0.111938,0.696167,0.556396,21.118162,-10.986327,3.295898
0.133057,0.820557,0.562134,-5.187988,7.080078,-6.713867
0.121338,0.771606,0.603516,-7.934570,2.807617,5.371093
0.095581,0.640259,0.391479,3.356933,-3.662109,1.037598
0.082764,0.539062,0.410889,9.948730,-0.488281,5.249023
0.148071,0.599609,0.433838,8.300781,-6.591796,6.591796
0.129028,0.806152,0.694336,7.446289,17.333984,13.122558
0.061890,0.750366,0.698975,16.052246,-4.455566,7.934570
0.101807,0.818237,0.742920,-7.934570,5.615234,10.559081
0.069580,0.785400,0.681763,-14.038085,7.019042,8.300781
0.077271,0.843628,0.664185,5.065917,-8.300781,1.098633
0.106567,0.803955,0.675903,0.122070,-3.723144,-1.647949
0.088867,0.849976,0.639893,-8.850098,1.281738,-0.488281
