Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.015625,0.717773,0.713745,3.723144,0.915527,5.859375
0.010376,0.714600,0.674683,-4.943848,-0.671387,4.699707
0.016479,0.701050,0.682129,-10.314940,2.197266,-2.929687
0.017334,0.690552,0.687012,-5.187988,1.953125,0.549316
0.006226,0.693726,0.715698,-8.300781,4.333496,1.647949
0.012939,0.742676,0.697632,-5.798339,3.723144,-2.990722
0.023926,0.715454,0.664429,4.760742,-9.704590,-9.277344
0.000610,0.728638,0.688354,-0.183105,-5.371093,-3.784179
-0.001709,0.758057,0.690430,0.793457,-4.699707,-3.295898
-0.010132,0.712769,0.673706,9.582520,-6.408691,1.770019
-0.013672,0.701782,0.675781,11.413573,0.183105,1.770019
-0.023193,0.710205,0.704712,7.934570,-1.647949,3.723144
-0.000854,0.648193,0.663086,8.728027,7.324218,7.568359
-0.022339,0.647339,0.695312,-6.774902,12.634276,11.352538
-0.153198,0.750244,0.664795,-4.882812,8.056641,19.165039
-0.015991,0.667480,0.888428,12.512206,0.915527,7.324218
0.156982,0.619751,0.802734,15.808105,-12.939452,-1.586914
-0.072510,0.725830,0.838989,-37.719727,1.831055,6.408691
-0.113892,0.631836,0.698608,4.638672,-2.502441,-10.620116
-0.073730,0.636475,0.693237,-10.131835,-2.380371,-4.882812
-0.115356,0.664917,0.704468,2.746582,0.488281,-3.234863
-0.067383,0.692383,0.730347,-8.422852,7.385253,1.281738
-0.030029,0.660400,0.671753,1.220703,1.037598,-0.915527
-0.019775,0.717773,0.717163,2.075195,4.089355,0.976562
-0.032349,0.704956,0.659790,-5.737304,8.422852,1.525879
-0.049805,0.707886,0.715210,-4.089355,2.990722,-3.173828
-0.032227,0.693359,0.707642,10.314940,-4.821777,-2.563476
-0.012939,0.636963,0.682373,8.666992,-4.577637,-1.953125
0.009644,0.561646,0.618042,7.019042,0.427246,-1.037598
-0.017456,0.457275,0.492310,3.112793,6.713867,10.009766
-0.048828,0.516235,0.560425,4.943848,4.211426,1.037598
-0.047607,0.587646,0.670776,5.554199,1.770019,4.516602
-0.030640,0.582275,0.741821,4.394531,-2.258301,5.676269
-0.062378,0.614624,0.719116,-12.268065,3.967285,5.004883
-0.055908,0.699707,0.819824,-7.934570,-0.793457,5.065917
-0.031738,0.775391,0.830078,-14.587401,2.014160,3.479004
-0.041260,0.756836,0.795654,4.699707,-16.174316,4.272461
-0.108765,0.786987,0.894653,2.563476,-2.258301,6.591796
-0.067505,0.761719,0.917969,11.657714,-7.751464,15.258788
-0.113281,0.957886,1.080933,-20.385740,10.986327,2.380371
-0.199951,0.981323,0.946533,-18.371582,22.766111,-4.089355
-0.081543,0.817627,0.642700,-12.695312,12.207030,-11.474608
-0.045898,0.704956,0.617310,-12.084960,7.385253,-8.178711
0.020020,0.690674,0.752808,8.483887,-18.310547,-6.042480
-0.038208,0.667236,0.673584,15.808105,-11.230468,-5.432128
-0.031982,0.628296,0.679443,4.760742,-1.098633,-7.690429
-0.041016,0.637939,0.672974,0.183105,13.122558,-1.708984
-0.035156,0.627197,0.604370,6.652832,1.831055,-4.028320
-0.077637,0.545898,0.571167,1.586914,4.638672,2.319336
-0.046875,0.483887,0.567749,8.789063,-8.178711,-1.953125
-0.031250,0.562622,0.638550,6.347656,-3.112793,-2.563476
-0.021118,0.615601,0.710205,-5.126953,-0.366211,-4.150391
-0.014526,0.637817,0.734497,-5.004883,-4.638672,-7.873535
-0.006714,0.669067,0.754028,1.892090,-5.126953,-3.479004
-0.007690,0.675171,0.764404,-6.347656,-3.784179,-1.037598
-0.018921,0.637573,0.745117,-2.136230,-7.568359,-1.403808
-0.052002,0.666260,0.735474,5.615234,-10.192870,-1.403808
-0.052002,0.606079,0.695190,0.122070,-2.075195,3.234863
-0.019531,0.592651,0.613525,-9.216309,6.164550,-1.098633
0.009888,0.549438,0.567993,14.404296,-0.183105,7.934570
-0.033691,0.473999,0.619995,5.432128,18.188477,13.305663
-0.021606,0.424683,0.699951,-0.305176,11.352538,9.216309
-0.057373,0.559326,0.727661,4.760742,1.281738,1.037598
-0.005493,0.577148,0.847046,-3.540039,11.230468,9.948730
-0.017944,0.598389,0.822632,0.732422,7.385253,3.417969
-0.031982,0.654907,0.744629,-7.568359,0.000000,1.037598
-0.025391,0.771362,0.937012,-3.662109,-3.112793,4.089355
-0.036499,0.638672,0.847534,0.549316,-6.835937,1.586914
-0.008789,0.704834,0.858765,-2.929687,2.136230,8.239746
-0.041016,0.778687,0.881714,7.934570,7.141113,1.647949
-0.016724,0.785034,0.952148,1.525879,6.469726,2.319336
-0.034912,0.889771,0.912476,-7.568359,-2.014160,-1.586914
-0.088135,0.909058,0.944580,-17.089844,4.150391,0.000000
-0.112427,0.768799,0.763672,0.305176,17.944336,-12.634276
0.053467,0.639404,0.720703,-11.535644,2.868652,-4.028320
0.008057,0.712891,0.729858,-13.610839,-13.732909,-0.610352
-0.017822,0.700195,0.776978,2.929687,-14.709472,3.234863
-0.054810,0.705200,0.783691,4.943848,-13.244628,0.793457
-0.090454,0.689697,0.783691,-13.854980,-7.202148,-4.211426
0.028442,0.667847,0.757812,13.793944,-3.845215,-3.845215
-0.002441,0.612427,0.658081,13.183593,-7.324218,-0.854492
0.000244,0.462646,0.561768,7.995605,0.305176,2.319336
0.009766,0.362915,0.516724,14.404296,-6.896972,1.708984
-0.026001,0.589844,0.658325,6.408691,-0.183105,-11.108397
-0.012207,0.714355,0.747925,-19.348145,8.361816,-6.347656
0.008545,0.655151,0.686890,1.525879,-0.732422,-2.563476
-0.003662,0.726562,0.754639,9.094238,-0.732422,0.122070
-0.022827,0.613770,0.683960,-2.441406,1.464844,9.521484
-0.024780,0.708008,0.796143,-12.084960,4.760742,-1.098633
-0.028198,0.636108,0.731567,-4.455566,-7.934570,6.713867
-0.053955,0.662964,0.711548,-0.732422,-3.662109,-5.615234
-0.015503,0.691162,0.729370,-3.479004,-1.831055,-4.089355
-0.006348,0.685303,0.744995,7.141113,-4.821777,-1.892090
-0.017578,0.627930,0.719849,3.662109,-2.136230,-1.342773
-0.035156,0.640259,0.711060,-11.047362,-5.493164,-3.845215
-0.035889,0.735718,0.779419,-8.972168,1.892090,-7.263183
-0.031494,0.666138,0.688232,-3.173828,-5.676269,4.333496
-0.025879,0.676270,0.694214,-3.906250,-1.586914,-6.469726
-0.022827,0.690796,0.733643,1.953125,-5.249023,-2.319336
-0.016968,0.702026,0.694946,0.793457,-2.136230,-2.319336
-0.026611,0.714355,0.710205,0.122070,1.708984,-0.610352
-0.026489,0.596191,0.561279,-2.258301,-2.014160,6.408691
-0.019043,0.465942,0.438965,-6.713867,0.000000,5.432128
-0.006714,0.494019,0.505981,-2.136230,2.624511,7.385253
