Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,dt
1505580,0.105591,0.607910,-0.751465,4.516602,13.916015,-1.220703,109
1505678,0.070679,0.550903,-0.711792,-2.807617,-14.770507,-3.234863,98
1505777,0.135620,0.594482,-0.727905,-5.737304,-7.080078,-1.525879,99
1505876,0.186890,0.562622,-0.835693,-11.474608,2.807617,-5.310058,99
1505975,0.100342,0.623169,-0.768066,-9.765625,6.103515,-18.615723,99
1506073,0.184570,0.606689,-0.748169,3.723144,-12.023925,5.371093,98
1506171,0.259644,0.572754,-0.790161,6.591796,-17.517090,13.000487,98
1506269,0.323120,0.573730,-0.792480,-9.094238,-46.630856,-3.479004,98
1506368,0.225830,0.637207,-0.732422,14.892577,-3.784179,0.183105,99
1506466,0.194214,0.587524,-0.743774,14.343261,-15.136718,3.845215,98
1506564,0.179810,0.657349,-0.685181,10.559081,12.268065,3.845215,98
1506662,0.239990,0.665771,-0.653198,8.300781,-8.972168,-0.671387,98
1506760,0.242920,0.671509,-0.713257,6.896972,-5.798339,4.272461,98
1506859,0.286255,0.772217,-0.774414,10.437011,-1.098633,-4.638672,99
1506956,0.294312,0.737915,-0.795532,27.893064,-9.887695,8.361816,97
1507054,0.303345,0.722046,-0.687134,32.348633,-2.502441,2.380371,98
1507151,0.280396,0.677490,-0.643677,42.480465,-20.202635,10.681151,97
1507248,0.247070,0.757324,-0.449585,40.832516,-5.859375,-2.441406,97
1507345,0.143555,0.908936,-0.377563,53.100582,-10.620116,5.981445,97
1507442,0.252930,0.923462,-0.294556,55.541988,-9.094238,5.676269,97
1507539,0.182129,0.831787,-0.086670,44.982906,-16.296387,0.366211,97
1507636,0.263184,0.902222,-0.209717,30.883787,-9.826660,-7.568359,97
1507733,0.295776,0.901855,-0.110352,20.996092,-3.173828,-10.864257,97
1507831,0.334961,0.934204,-0.123901,10.009766,-3.051758,-1.403808,98
1507930,0.345337,0.934082,-0.124512,11.352538,5.187988,-6.408691,99
1508028,0.443115,1.006226,-0.132568,11.779784,-8.239746,2.746582,98
1508127,0.303345,0.916748,-0.111694,12.695312,-3.845215,1.159668,99
1508225,0.307007,0.880615,-0.080200,4.089355,4.394531,9.826660,98
1508323,0.258911,0.930054,-0.051025,5.004883,0.610352,5.187988,98
1508422,0.234741,0.949829,-0.080078,2.990722,3.112793,-0.976562,99
1508520,0.229370,0.927368,-0.078003,4.699707,-1.647949,2.868652,98
1508636,0.228394,0.965698,-0.042603,1.098633,0.488281,-3.112793,116
1508734,0.206787,0.951416,-0.051025,2.807617,-0.976562,-2.502441,98
1508833,0.221313,0.930542,-0.060547,1.770019,0.854492,-3.295898,99
1508932,0.246704,0.867187,-0.084351,-11.047362,-3.845215,7.202148,99
1509029,0.107544,0.612793,-0.159546,-34.729004,8.544922,27.587889,97
1509127,0.280518,0.911011,-0.155762,-32.592773,10.864257,16.357422,98
1509225,0.139038,1.017456,-0.314941,-27.343748,-0.061035,30.090330,98
1509324,0.077759,0.937622,-0.241821,-10.498046,-0.244141,35.400391,99
1509422,0.009888,0.852295,-0.090820,-7.080078,4.516602,24.841307,98
1509520,0.031860,1.047974,-0.205444,-13.427733,9.155273,10.986327,98
1509637,-0.037720,0.967896,-0.224854,-6.408691,1.831055,0.183105,117
1509736,-0.012573,0.913574,-0.329224,-4.577637,-9.704590,8.239746,99
1509835,-0.037720,1.050659,-0.309326,8.666992,-1.281738,4.333496,99
1509933,-0.021118,1.066406,-0.304688,19.836426,4.028320,-1.098633,98
1510031,-0.037354,1.044800,-0.213623,18.859863,4.333496,2.014160,98
1510129,-0.031860,1.045410,-0.244995,21.362303,-1.342773,-1.098633,98
1510227,-0.030273,1.053345,-0.205444,6.408691,0.549316,-10.131835,98
1510324,-0.061279,1.303833,-0.197266,-4.699707,-1.037598,-2.319336,97
1510422,-0.007690,1.229126,-0.227905,-31.372068,-3.356933,7.019042,98
1510520,-0.063232,1.097290,-0.195190,-31.555174,1.770019,3.356933,98
1510630,-0.032349,1.009521,-0.250000,-4.394531,-4.028320,-8.972168,110
1510729,-0.031250,0.971924,-0.228394,9.765625,-4.577637,-21.423338,99
1510828,0.070801,0.943237,-0.197754,33.203125,-8.666992,-22.338865,99
1510927,0.128540,0.946411,-0.256958,57.617184,-5.554199,-29.052732,99
1511025,0.144287,0.745972,-0.111938,62.255856,-0.427246,-30.761717,98
1511122,0.244141,0.767212,0.004883,38.757324,-3.540039,-25.390623,97
1511220,0.259399,0.852661,0.097412,13.061522,15.197753,-12.207030,98
1511317,0.208862,0.878052,0.049683,1.892090,-7.080078,-2.929687,97
1511415,0.276123,1.039429,0.137207,9.094238,-2.014160,-9.216309,98
1511513,0.178467,0.868652,0.084961,2.685547,-8.972168,4.760742,98
1511610,0.215942,0.932495,0.098511,1.403808,-2.929687,-1.037598,97
1511707,0.205933,0.859131,0.042236,-7.202148,3.417969,3.906250,97
1511807,0.115479,0.723267,-0.029297,-40.405270,4.699707,23.559568,100
1511907,0.102905,0.864136,-0.059448,-64.270020,10.070800,30.761717,100
1512005,0.083740,0.700806,-0.211792,-49.682613,-0.854492,29.907225,98
