Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,dt
878117,0.055176,0.966187,-0.245850,2.502441,-4.577637,-2.075195,98
878215,0.063110,0.936768,-0.242676,3.479004,-1.708984,1.586914,98
878312,0.069336,0.948364,-0.239014,0.244141,3.723144,1.892090,97
878411,0.070923,0.955933,-0.256470,-1.037598,3.662109,0.000000,99
878510,0.056519,0.960815,-0.261597,-0.732422,-1.953125,0.854492,99
878609,0.052856,0.948853,-0.236450,0.732422,-2.075195,-1.403808,99
878707,0.067383,0.962158,-0.232300,1.831055,-1.647949,-0.366211,98
878805,0.073853,0.965820,-0.233276,0.732422,1.098633,-2.807617,98
878904,0.065796,0.846924,-0.214844,-2.502441,3.295898,1.403808,99
879001,0.036499,0.745239,-0.254883,-14.465331,9.521484,19.042969,97
879099,0.057129,0.851074,-0.236206,-23.864744,3.356933,10.559081,98
879197,-0.039307,0.918945,-0.264160,-17.028809,-2.624511,11.779784,98
879295,-0.020020,0.944580,-0.413086,-4.882812,3.234863,10.864257,98
879394,-0.034058,0.971802,-0.410645,-2.258301,-1.892090,6.225585,99
879493,-0.005615,0.944702,-0.319092,7.568359,0.915527,5.920410,99
879592,-0.057251,1.032837,-0.327637,10.559081,-3.540039,6.530761,99
879690,-0.078369,1.031006,-0.343506,8.239746,1.220703,-1.586914,98
879788,-0.062012,0.997925,-0.340210,9.582520,3.234863,1.220703,98
879886,-0.085815,1.016846,-0.310913,7.751464,-1.525879,-8.850098,98
879985,-0.069458,0.990479,-0.294067,4.150391,4.150391,-6.652832,99
880084,-0.065552,0.972046,-0.272705,7.690429,4.028320,-5.249023,99
880182,-0.052124,1.123413,-0.279297,-6.591796,0.122070,-2.136230,98
880280,-0.052734,1.191162,-0.309692,-16.479492,7.873535,8.789063,98
880378,-0.068848,1.016235,-0.280640,-18.493652,0.915527,5.737304,98
880476,-0.096680,0.945068,-0.289795,-20.751951,-2.868652,-7.019042,98
880574,-0.094849,0.978027,-0.310913,-10.437011,-0.854492,-8.544922,98
880672,-0.095337,0.972412,-0.358887,9.704590,-9.826660,-13.671874,98
880769,-0.012207,0.946655,-0.361938,19.714355,-4.272461,-24.658201,97
880867,0.057373,0.967285,-0.346802,42.846676,-8.300781,-16.540527,98
880965,0.062622,0.901611,-0.312744,55.664059,7.690429,-16.967773,98
881062,0.122437,0.692017,-0.061035,47.912594,-0.305176,-22.583006,97
881160,0.075806,0.716675,-0.199219,10.803222,0.915527,9.704590,98
881259,0.130859,1.118042,0.016357,2.075195,-4.821777,-2.197266,99
881358,0.080566,0.974854,-0.059937,4.821777,3.051758,-7.080078,99
881456,0.089111,0.927612,-0.043701,0.183105,-2.075195,1.831055,98
881555,0.121582,1.005981,-0.006470,0.671387,-2.014160,-5.249023,99
881652,0.128296,0.965088,-0.023193,-1.037598,0.610352,0.549316,97
881750,0.126587,0.956665,-0.058838,-5.432128,-0.915527,0.915527,98
881849,0.129639,1.001221,-0.067627,-5.737304,0.000000,1.586914,99
881947,0.113159,0.895142,-0.100220,-9.948730,-2.624511,4.516602,98
882046,0.085083,0.718384,-0.040527,-28.869627,2.563476,24.658201,99
882145,0.005371,0.817993,-0.219238,-46.997066,-0.488281,22.277830,99
882243,0.035767,0.873535,-0.199951,-39.978027,-5.432128,17.211914,98
882341,0.002319,0.990234,-0.264893,-21.545408,-0.549316,14.221190,98
882439,-0.074707,0.952148,-0.419800,-7.507324,4.211426,22.033689,98
882538,-0.062744,0.975098,-0.306519,-0.366211,2.014160,14.648437,99
882635,-0.097412,1.086670,-0.348755,6.591796,1.098633,-0.427246,97
882735,-0.105225,1.099976,-0.352905,8.605957,2.441406,-2.197266,100
882834,-0.094360,1.002197,-0.290649,9.521484,2.197266,-0.915527,99
882933,-0.097900,1.002686,-0.249023,-4.394531,-4.943848,-4.394531,99
883032,-0.091675,1.007446,-0.290527,2.563476,-2.258301,-1.525879,99
883130,-0.086914,1.067871,-0.345337,2.014160,-1.831055,-1.281738,98
883227,-0.124390,1.270752,-0.398804,-8.483887,3.112793,7.629394,97
883325,-0.074219,1.212280,-0.342651,-21.911619,10.131835,-2.380371,98
883424,-0.121094,1.045532,-0.269531,3.417969,-2.136230,-5.920410,99
883524,-0.068359,0.890869,-0.203735,20.324705,-7.324218,-27.038572,100
883623,0.014893,0.856812,-0.134766,20.202635,1.403808,-32.409668,99
883721,0.053955,0.872803,-0.206299,30.700682,-7.751464,-23.620604,98
883819,0.087280,0.916748,-0.135620,44.799801,-6.408691,-18.920898,98
883918,0.078613,0.714966,-0.139893,47.119137,9.399414,-8.789063,99
884016,0.033203,0.758057,-0.120728,5.065917,5.493164,3.295898,98
884114,0.127441,1.104248,-0.008301,-2.990722,-1.647949,-10.620116,98
884213,0.147827,0.989136,-0.001465,7.141113,-4.333496,-5.737304,99
884311,0.144653,0.923828,0.027710,-0.610352,1.525879,-1.953125,98
884411,0.163208,0.961304,0.033569,-4.577637,5.187988,0.061035,100
884509,0.129272,0.964600,-0.014526,0.000000,-2.258301,0.854492,98
884608,0.116577,0.937378,-0.009399,2.014160,-1.220703,-1.159668,99
884706,0.108154,0.884521,0.000000,0.061035,1.403808,0.488281,98
