Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.235474,-0.879883,-0.236328,27.221678,-36.315918,-14.160155
-0.169189,-0.914307,-0.084961,7.507324,-5.798339,-1.098633
-0.198730,-1.050659,-0.031616,7.141113,14.343261,7.751464
-0.132080,-1.153809,-0.092896,6.225585,15.747069,4.028320
-0.217896,-1.127808,-0.099243,9.033203,-4.150391,10.742187
-0.193726,-1.177490,-0.090210,0.061035,-1.037598,-3.051758
-0.082153,-1.139771,-0.113037,0.793457,-4.577637,7.080078
-0.097290,-1.117798,-0.132935,3.601074,-1.770019,7.934570
-0.047363,-1.082275,-0.154663,0.366211,2.929687,11.779784
-0.002686,-0.997681,-0.020874,-1.586914,7.019042,5.004883
-0.001587,-1.020630,-0.027466,-10.192870,-3.173828,3.601074
-0.064209,-0.934082,-0.036377,-15.075683,0.488281,-0.671387
-0.149902,-0.807495,0.034180,-22.155760,7.202148,-4.150391
-0.151001,-0.793335,0.058105,-17.150879,15.197753,-2.441406
0.017944,-0.858521,0.175171,-15.563964,-7.507324,0.000000
-0.096313,-0.971558,0.159424,-37.658691,-7.690429,-3.540039
-0.194702,-0.962891,0.113403,-19.958496,-5.371093,-6.347656
-0.157959,-0.913452,0.184814,-12.512206,-6.408691,-3.479004
-0.178223,-0.907349,0.323242,-9.399414,1.708984,-2.319336
-0.159912,-0.917969,0.267212,-2.990722,-1.708984,0.915527
-0.149048,-0.951538,0.174561,4.943848,-6.713867,0.793457
-0.203735,-0.931030,0.266113,9.887695,0.244141,6.042480
-0.069824,-0.846313,0.248657,23.620604,-7.080078,12.268065
-0.129761,-0.713501,0.046265,21.301268,-15.014647,11.779784
-0.164917,-0.700073,0.131958,11.474608,-0.732422,0.854492
-0.094482,-0.863159,0.046753,2.746582,2.197266,-7.568359
-0.069458,-0.932495,-0.013550,7.446289,-9.216309,-11.413573
-0.036865,-0.954712,0.039185,7.690429,-6.286621,-15.380858
-0.247803,-1.065186,-0.074585,-6.164550,-13.549804,-5.493164
-0.257202,-0.989746,0.057007,15.380858,0.366211,-23.681639
-0.141113,-1.005127,-0.076416,27.832029,-2.929687,-25.268553
-1.907715,-3.630249,-0.925293,-20.996092,-121.154778,74.218750
-0.903809,-1.084717,-0.033691,11.352538,-71.838379,60.729977
-0.109375,-1.077148,-0.071411,-7.751464,41.931149,31.982420
-0.463867,-1.050537,-0.032837,-4.943848,-47.241207,-22.033689
-0.271118,-1.021729,0.101807,4.089355,10.925292,-2.624511
-0.279541,-0.921631,0.012085,5.065917,-20.446775,-1.403808
-0.275146,-0.926514,-0.071045,-6.591796,-7.629394,-11.535644
-0.180420,-1.171997,-0.004517,-8.789063,-5.981445,6.652832
-0.301270,-1.085693,-0.042847,-7.568359,0.427246,2.685547
-0.241211,-1.077881,0.028076,-3.601074,3.601074,12.756347
-0.203857,-0.964844,-0.126099,-11.596679,1.831055,-2.136230
-0.306641,-1.037476,-0.102661,4.333496,-7.446289,20.019531
-0.305176,-1.064941,-0.119263,8.789063,-1.403808,14.099120
-0.156006,-1.116211,-0.000854,17.211914,13.732909,21.972654
-0.191772,-1.095459,-0.006226,6.225585,0.976562,21.667479
-0.182495,-1.003540,0.013428,0.976562,2.624511,10.375976
-0.150635,-0.986084,0.019897,-7.263183,-5.554199,10.192870
-0.140747,-0.958130,0.000244,-13.977050,5.859375,10.314940
-0.062378,-0.907471,0.061401,-16.601562,8.605957,6.408691
-0.023682,-0.885376,0.155273,-21.484373,6.835937,-13.000487
-0.202393,-0.822388,0.030273,-16.723633,-6.164550,-8.422852
-0.159058,-0.730103,0.149292,-15.319823,19.348145,-12.145995
-0.169800,-0.823486,0.156982,-16.784668,-16.418457,-3.295898
-0.194580,-0.916748,0.178101,-31.249998,2.685547,-8.544922
-0.160645,-0.910034,0.174561,-34.790039,8.728027,-10.070800
-0.157227,-0.946777,0.214600,-13.122558,1.464844,-0.488281
-0.139160,-0.998047,0.185425,-7.507324,0.732422,0.610352
-0.145142,-0.941406,0.253784,-1.159668,1.892090,-0.854492
-0.180298,-0.960815,0.206665,4.943848,1.647949,-1.281738
-0.169067,-0.922852,0.322021,15.686034,4.455566,3.906250
-0.288574,-0.882568,0.318115,4.211426,10.803222,0.488281
-0.185791,-0.704102,0.204834,16.662598,-6.591796,9.582520
-0.074585,-0.693481,0.218872,34.118652,14.892577,17.517090
-0.073242,-0.844238,0.075317,11.596679,-16.174316,1.586914
-0.104370,-0.895508,0.104126,13.305663,-5.676269,-16.235352
-0.133301,-0.967041,0.038940,8.117676,0.854492,-18.737793
-0.182373,-0.935669,0.045898,13.488769,13.916015,-14.831542
-0.216675,-0.982788,0.070557,18.859863,4.394531,-22.705076
-0.254395,-0.929443,0.082031,17.272949,-6.225585,-29.052732
-0.266968,-0.954346,0.121582,13.854980,-14.465331,-26.062010
-0.284058,-1.066284,0.056030,10.986327,-1.037598,-17.639160
1.140869,-0.299927,0.023193,21.423338,39.550781,8.728027
-0.220703,-0.758301,-0.080566,28.442381,-0.488281,22.155760
-0.248413,-0.813477,-0.007813,0.793457,4.272461,26.916502
-0.358154,-0.837036,-0.079468,-2.929687,-15.747069,-4.394531
-0.363770,-0.866089,-0.039917,-20.812986,10.314940,2.685547
-0.249634,-0.955688,0.014893,-22.949217,-14.831542,3.234863
-0.334717,-0.974976,-0.016602,-11.291503,14.587401,-3.051758
-0.392944,-0.900024,0.059204,-5.432128,8.972168,-4.394531
-0.382446,-0.941895,-0.024536,6.042480,-13.549804,-1.037598
-0.402344,-0.900024,0.018311,4.455566,-4.577637,8.178711
-0.456909,-0.969604,-0.037231,7.812500,9.216309,11.169433
-0.336182,-1.004639,0.018188,11.108397,5.249023,14.099120
-0.323120,-1.114014,-0.032227,0.366211,9.338379,23.315428
-0.227783,-1.032837,0.000366,13.549804,-7.568359,13.305663
-0.259399,-1.113892,-0.132324,0.122070,-4.516602,25.390623
-0.225098,-1.048950,-0.077393,2.502441,3.601074,17.761230
-0.298462,-0.960693,-0.064209,-12.268065,-6.042480,11.657714
-0.356445,-0.793457,0.151367,-21.606443,-17.272949,4.089355
-0.311768,-0.882080,0.091919,-16.113281,-9.460449,4.821777
-0.204224,-0.932861,0.050049,-20.080564,5.187988,2.929687
0.010254,-0.865479,0.125610,-19.287109,6.652832,2.563476
-0.057007,-0.915283,-0.058594,-10.375976,5.920410,-1.220703
0.000366,-0.909546,-0.008789,-3.051758,0.427246,-2.929687
-0.124878,-0.823364,0.186035,-14.770507,-4.150391,-6.347656
-0.202759,-1.012817,0.121826,-34.973145,3.112793,-11.535644
-0.135254,-0.896118,0.156616,-26.245115,-2.685547,-11.047362
-0.119751,-0.904663,0.161133,-11.047362,-1.770019,-8.972168
-0.260132,-0.971924,0.257446,-3.906250,-2.197266,-3.112793
-0.261475,-0.940308,0.273438,-0.976562,3.601074,-1.525879
-0.198486,-0.883545,0.232422,2.929687,4.028320,-1.403808
-0.237549,-0.929199,0.279053,15.930175,1.098633,4.211426
-0.352905,-0.736938,0.220459,16.601562,2.319336,15.869140
-0.044922,-0.642090,0.036865,25.573729,-3.601074,14.526366
-0.197144,-0.651001,0.104248,22.399900,0.732422,-1.708984
-0.169556,-0.804810,0.036133,24.475096,-24.353025,-9.521484
-0.241455,-0.943115,0.148682,15.808105,-3.784179,-13.671874
-0.144287,-0.924683,0.054321,13.061522,-9.582520,-9.948730
-0.257690,-0.942383,-0.092407,9.643555,9.765625,-20.141600
-0.171631,-0.963013,-0.029907,13.183593,20.629881,-26.550291
-0.192627,-1.126465,-0.043091,7.141113,2.258301,-15.258788
-0.313110,-1.102905,-0.061279,7.141113,-3.356933,-13.916015
-0.638306,-1.205078,-0.086426,18.371582,-31.066893,6.042480
-1.115479,0.230835,0.114746,-75.073242,-129.882812,-254.150375
-0.976562,-1.378296,-0.610840,-2.868652,-30.395506,72.387695
-0.095581,-1.065430,-0.104126,-1.098633,5.004883,-15.869140
-0.408691,-0.876465,-0.152466,3.662109,4.943848,8.605957
-0.437744,-0.891479,-0.081787,-6.469726,-12.512206,-6.652832
-0.429810,-0.860596,-0.151123,2.624511,2.258301,-8.972168
-0.437622,-0.858154,-0.097412,-1.953125,-10.314940,-2.197266
-0.366455,-0.871704,-0.064819,-3.417969,9.887695,-2.929687
-0.485718,-0.992554,0.069946,1.647949,42.785641,4.333496
-0.337891,-0.853516,0.074829,-8.544922,-10.559081,-2.258301
-0.523193,-0.841187,0.108032,-1.892090,-27.404783,-1.464844
-0.651245,-0.914551,-0.104126,10.253905,27.832029,24.658201
-0.511353,-1.003052,-0.068970,12.817382,6.103515,13.793944
-0.353394,-1.058838,0.038818,4.577637,0.732422,14.465331
-0.357788,-1.056519,-0.104736,-11.169433,-1.281738,21.240232
-0.229980,-0.940552,-0.120850,-6.469726,9.948730,25.634764
-0.232910,-0.891235,-0.014282,-27.954100,10.070800,16.296387
-0.424805,-0.804810,0.091309,-28.381346,-7.751464,2.380371
-0.187500,-0.749512,0.065674,-32.592773,27.587889,-0.671387
0.102051,-0.764648,0.089722,-25.024412,8.056641,4.638672
-0.201782,-0.696289,0.190063,-15.991210,-24.963377,1.281738
-0.248047,-0.755737,0.209595,-12.573241,-10.620116,-1.586914
-0.284546,-1.028687,0.109375,-21.179197,-5.615234,-10.864257
-0.131226,-0.861328,0.230469,-31.616209,15.502929,-6.408691
-0.191162,-0.860718,0.297241,-18.676758,9.033203,-9.399414
-0.265747,-0.917725,0.408081,2.502441,-4.882812,0.000000
-0.171753,-0.915405,0.289795,3.601074,0.915527,3.234863
-0.188477,-0.902832,0.284058,11.474608,0.854492,0.549316
-0.232544,-0.962158,0.189819,34.301758,-11.535644,5.371093
-0.022339,-0.834961,0.118164,41.748043,-25.146482,1.037598
-0.119629,-0.813721,0.205566,33.264160,3.906250,8.850098
-0.159058,-0.972168,0.021606,20.874022,-7.141113,-2.685547
-0.170410,-0.870361,-0.003174,12.817382,-0.976562,-11.047362
-0.192627,-0.833496,0.157349,0.854492,7.690429,-11.657714
-0.317871,-0.873169,-0.012695,7.080078,-1.892090,-16.357422
-0.252808,-0.881226,0.025879,-5.493164,3.173828,-23.925779
-0.275513,-0.870972,0.020020,8.361816,-6.164550,-15.686034
-0.363159,-0.886475,-0.032837,15.747069,-1.525879,-23.071287
-0.430908,-0.952637,-0.079590,7.995605,-4.577637,-29.418943
-0.391602,-0.831299,0.126831,14.648437,-24.291990,-58.105465
0.059326,0.410034,0.302734,-52.856441,-2.685547,-177.185043
-0.480591,-0.970947,-0.561523,4.150391,-13.305663,21.301268
-0.450073,-0.997314,0.040649,18.615723,29.541014,-0.549316
-0.594360,-0.874634,-0.189087,-5.920410,-0.976562,14.709472
-0.499512,-0.896118,-0.011353,-9.948730,-8.850098,5.371093
-0.427734,-0.890869,-0.039307,-10.009766,-12.207030,2.746582
-0.379272,-0.830200,-0.138550,-11.596679,-3.662109,0.244141
-0.401245,-0.890015,-0.048340,-9.338379,-5.737304,3.967285
-0.388550,-0.984985,-0.037354,1.220703,11.230468,3.051758
