Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.333740,0.829590,0.458374,7.019042,-1.464844,-11.474608
0.138306,0.981812,0.450684,-7.446289,5.493164,6.164550
0.134277,0.868896,0.348999,6.347656,-2.502441,-22.583006
0.151001,0.981812,0.441284,10.620116,4.028320,1.647949
0.189453,0.904907,0.438843,33.447266,-1.770019,-3.601074
0.192871,0.810669,0.473267,8.605957,3.234863,1.770019
0.229736,0.855469,0.515747,-0.488281,6.896972,-7.019042
0.218262,0.756104,0.509399,12.390136,-1.464844,2.380371
0.264771,0.867187,0.524414,13.793944,-1.281738,-3.112793
0.250732,0.712158,0.516602,0.122070,4.455566,-1.708984
0.240967,0.801758,0.558472,-4.455566,6.652832,-1.892090
0.242310,0.795166,0.537720,-2.197266,3.967285,-1.037598
0.268188,0.821655,0.498535,-3.051758,5.859375,1.770019
0.251953,0.739136,0.476807,1.953125,1.953125,4.028320
0.215820,0.753784,0.515137,4.028320,-0.671387,5.798339
0.232666,0.772827,0.471558,6.408691,-3.540039,4.333496
0.212158,0.744751,0.494141,2.136230,0.976562,5.737304
0.199707,0.723267,0.568604,20.935057,-5.432128,11.291503
0.207886,0.696777,0.533936,0.244141,2.502441,-5.981445
0.195435,0.729126,0.547241,-6.958007,1.647949,0.976562
0.202637,0.816284,0.522095,6.835937,-3.112793,3.662109
0.218872,0.855347,0.540894,-3.112793,6.958007,-0.061035
0.202271,0.813354,0.639160,26.489256,-7.446289,5.065917
0.176270,0.787598,0.629883,19.775391,-1.098633,0.915527
0.190430,0.667114,0.708374,22.949217,-4.394531,-5.798339
0.207275,0.673706,0.722534,-0.427246,2.136230,-4.211426
0.217285,0.713623,0.718628,2.258301,-3.662109,-2.075195
0.199463,0.750854,0.774902,6.652832,-3.784179,-1.892090
0.209717,0.800781,0.788086,4.455566,0.671387,-2.868652
0.202637,0.832520,0.870361,5.737304,2.746582,-1.586914
0.200073,0.843872,0.825928,-17.761230,5.676269,-0.366211
0.196777,0.822998,0.840454,0.122070,-8.239746,0.732422
0.197998,0.751831,0.770508,-7.263183,5.065917,-6.347656
0.187988,0.695312,0.713989,-2.563476,-7.751464,0.183105
0.186279,0.690430,0.633545,-5.920410,-4.150391,2.136230
0.143799,0.648071,0.571045,4.272461,-4.089355,6.225585
0.120605,0.624634,0.574463,-17.700195,6.225585,0.793457
0.214355,0.596313,0.541626,-11.779784,4.211426,-1.342773
0.181396,0.553833,0.479858,-15.869140,5.920410,-0.061035
0.226318,0.699341,0.531982,-15.380858,2.441406,-8.911133
