Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,dt
1763609,0.390869,0.876953,0.187012,-0.061035,-0.610352,-1.708984,98
1763707,0.358887,0.882324,0.175903,-3.662109,8.056641,4.821777,98
1763805,0.366699,0.945312,0.169434,-1.342773,-0.915527,3.295898,98
1763903,0.364990,0.933838,0.125000,1.159668,0.793457,1.770019,98
1764002,0.317017,0.897949,0.145508,0.244141,-4.760742,5.249023,99
1764100,0.349487,0.874512,0.194580,-10.620116,2.441406,9.887695,98
1764198,0.246948,0.859863,0.121704,-28.076170,4.394531,29.235838,98
1764296,0.228516,0.824707,-0.017334,-40.039062,12.451171,41.992184,98
1764394,0.289429,0.948242,-0.054077,-42.236324,9.460449,35.522461,98
1764491,0.239380,0.874390,-0.108521,-46.691891,10.070800,44.799801,97
1764588,-0.007446,0.920898,-0.087769,-33.264160,8.666992,33.386230,97
1764686,0.016357,0.929077,-0.121826,-14.404296,-6.286621,20.935057,98
1764784,-0.015503,1.096191,-0.072021,-3.417969,9.216309,-2.014160,98
1764882,0.006958,1.028687,-0.166870,16.479492,-0.427246,-4.638672,98
1764982,0.028076,0.968384,-0.249756,18.676758,-2.685547,-0.671387,100
1765081,-0.068481,1.103149,-0.098755,20.874022,-10.253905,-1.708984,99
1765180,-0.030518,0.977539,-0.057861,28.564451,4.333496,-8.972168,99
1765278,0.056763,1.119019,0.086304,24.597166,3.723144,-7.568359,98
1765376,-0.039795,1.304688,0.024658,-36.071777,-14.587401,10.559081,98
1765475,-0.044678,1.097290,0.070679,-25.939939,22.277830,22.216795,99
1765573,0.047119,1.136108,-0.025513,7.690429,6.835937,-5.432128,98
1765671,0.036987,0.828979,0.039551,27.526854,0.549316,-31.311033,98
1765769,0.058838,0.894165,-0.016602,54.077145,-0.183105,-65.612793,98
1765868,0.279907,0.826782,0.157104,94.909660,8.239746,-66.467285,99
1765966,-0.182495,0.562378,-0.054321,39.001465,29.235838,-23.864744,98
1766065,0.213989,0.791138,0.252075,20.263670,-36.621094,10.559081,99
1766162,0.295898,1.033936,0.351318,14.465331,3.112793,-26.916502,97
