Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.198486,-1.016724,-0.088623,0.122070,14.221190,-0.488281
-0.207275,-0.910034,-0.124146,2.014160,9.826660,-1.586914
-0.178711,-0.915405,-0.099365,-6.286621,15.624999,2.807617
-0.197876,-0.879272,-0.058594,-9.582520,12.817382,1.281738
-0.161499,-0.928955,-0.015137,-10.498046,16.235352,6.591796
-0.221191,-0.794189,-0.031006,-11.718749,9.277344,-0.488281
-0.150635,-0.767456,-0.003296,-13.122558,17.944336,1.708984
-0.197021,-0.885620,0.132935,-7.263183,4.089355,3.662109
-0.166016,-0.914795,0.148437,3.051758,7.751464,3.906250
-0.195190,-0.936279,0.094971,-2.319336,-5.981445,-0.671387
-0.242798,-0.965088,0.002808,-13.488769,4.211426,4.516602
-0.249268,-0.942017,0.067871,0.488281,-1.892090,0.671387
-0.239502,-0.957397,0.059692,0.183105,-3.112793,-1.892090
-0.225464,-0.972168,0.093140,-0.122070,-3.967285,0.122070
-0.195557,-0.980347,0.086670,-4.028320,3.112793,0.366211
-0.219971,-0.973145,0.032593,-2.746582,-1.525879,-4.699707
-0.207275,-0.965210,0.049805,-0.671387,1.831055,-1.037598
-0.205933,-0.962280,0.079590,4.882812,-1.892090,-2.807617
-0.250000,-0.949341,0.030884,0.000000,-2.075195,-0.305176
-0.219482,-0.960205,0.031982,2.929687,1.464844,0.000000
-0.232910,-0.949951,0.062744,-0.061035,3.173828,0.244141
-0.179077,-0.982056,0.067627,-1.525879,1.892090,2.014160
-0.175659,-0.982300,0.083496,0.244141,0.488281,0.366211
-0.190430,-0.968750,0.060791,-0.183105,1.342773,-1.098633
-0.203979,-0.959106,0.050781,-0.854492,-0.854492,-0.183105
-0.176392,-0.981689,0.083740,0.000000,2.075195,-1.098633
-0.219604,-0.925293,0.054810,3.906250,0.366211,-1.770019
-0.200684,-0.884521,0.030151,12.268065,-12.695312,-5.432128
-0.248657,-0.931396,-0.007935,16.296387,-6.591796,-4.455566
-0.184082,-0.968018,0.007568,17.089844,-3.723144,-2.014160
-0.158325,-0.940186,-0.014771,9.887695,-0.671387,1.770019
-0.200195,-0.910645,-0.039307,8.056641,-3.356933,-1.281738
-0.250244,-0.891968,-0.073120,7.629394,-0.366211,1.770019
-0.212158,-0.929443,-0.059448,1.647949,-3.967285,0.732422
-0.247314,-0.910400,-0.081055,0.000000,-4.760742,0.671387
-0.188354,-0.875122,-0.056519,-2.441406,2.319336,2.136230
-0.274414,-0.928101,-0.162598,5.371093,-7.873535,-5.859375
-0.281006,-0.890625,-0.116089,5.310058,4.211426,-5.310058
-0.243896,-0.969971,-0.121338,10.681151,7.690429,-3.845215
-0.199585,-1.039063,-0.110718,4.577637,-2.075195,-1.342773
-0.220459,-1.026855,-0.180176,5.126953,-7.751464,-0.488281
